nome,partido,uf,PDC 124/1991,PDC 369/1990,PDC 370/1990,PDC 374/1990,PDC 63/1991,PDC 66/1991,PDC 66/1991,PDC 87/1991,PEC 45/1991,PEC 45/1991,PEC 45/1991,PL 1050/1991,PL 1050/1991,PL 1232/1991,PL 1263/1991,PL 1793/1991,PL 1911/1991,PL 2155/1991,PL 2155/1991,PL 2158/1991,PL 2158/1991,PL 2159/1991,PL 2366/1991,PL 2452/1991,PL 2452/1991,PL 2452/1991,PL 2452/1991,PL 2452/1991,PL 4570/1989,PL 4580/1990,PL 4790/1990,PL 4790/1990,PL 5996/1990,PL 5996/1990,PL 638/1991,PL 822/1991,PL 822/1991,PL 91/1991,PL 912/1991,PLP 181/1989
Félix Mendonça,PTB,BA,0,1,1,1,0,-1,-1,0,1,0,1,-1,1,1,1,0,1,-1,0,0,1,0,1,0,0,0,0,0,0,-1,1,1,1,1,-1,1,1,0,1,-1
Geddel Vieira Lima,PMDB,BA,0,1,1,0,0,-1,-1,-1,0,0,1,-1,0,1,1,0,1,-1,1,0,0,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,0,1,1,1,-1
Jairo Carneiro,PFL,BA,1,0,1,0,0,-1,-1,0,0,1,0,-1,1,0,1,1,1,-1,0,1,-1,-1,1,1,1,0,0,-1,0,-1,1,0,1,0,-1,0,1,1,1,-1
Aroldo Cedraz,PFL,BA,0,0,0,0,1,-1,-1,-1,1,0,0,-1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,-1
José Carlos Aleluia,PFL,BA,0,1,1,1,0,-1,-1,0,0,0,0,-1,1,1,1,1,1,1,1,0,-1,1,0,1,1,-1,0,0,0,0,-1,1,1,1,-1,1,1,1,1,-1
Jutahy Junior,PSDB,BA,1,-1,-1,-1,1,0,-1,0,1,0,1,0,0,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,0,0,0,1,1,-1,0,1,-1,-1
Osório Adriano,PFL,DF,0,0,0,1,1,0,0,-1,1,0,1,0,0,1,0,0,1,0,-1,1,0,-1,0,-1,1,-1,-1,-1,0,-1,0,1,1,1,0,0,0,1,1,0
Rose de Freitas,PSDB,ES,0,0,0,0,0,1,1,-1,1,0,1,1,-1,0,0,1,0,0,-1,1,0,-1,0,0,0,1,1,-1,0,1,0,0,1,0,1,-1,-1,1,-1,0
Ronaldo Caiado,PFL,GO,-1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-1,-1,0,0,-1,1,-1,-1,-1,0,-1,0,-1,1,0,1,1,0,1,0,1,0,0
Paulo Delgado,PT,MG,0,-1,-1,-1,0,1,1,0,1,1,1,-1,-1,0,0,-1,-1,-1,1,-1,0,1,-1,-1,-1,1,1,-1,0,1,0,-1,0,-1,1,0,-1,1,-1,-1
Fernando Diniz,PMDB,MG,1,1,1,1,1,0,-1,-1,1,0,1,0,-1,1,1,1,1,-1,-1,1,0,0,1,1,1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,0
Lael Varella,PFL,MG,0,0,0,0,0,0,-1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0,-1
José Santana de Vasconcellos,PFL,MG,0,0,0,0,1,-1,0,-1,1,0,1,-1,0,1,1,1,1,-1,-1,0,0,-1,0,1,1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,1,1,-1
Vittorio Medioli,PSDB,MG,0,0,-1,-1,0,-1,-1,-1,1,0,0,1,-1,-1,1,0,0,0,1,0,0,-1,0,0,0,0,1,-1,1,0,0,-1,1,1,1,0,0,1,1,0
Osmânio Pereira,PSDB,MG,1,-1,-1,-1,1,-1,1,-1,1,0,1,1,-1,-1,1,1,1,1,1,0,0,-1,1,0,0,1,1,-1,1,1,0,0,1,0,1,0,-1,1,-1,-1
Wellington Fagundes,PL,MT,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,-1,0,0,0,0,1,1,0,0,1,0,0,1,1,-1
Paulo Rocha,PT,PA,1,0,0,0,0,1,1,0,1,0,1,-1,-1,-1,-1,-1,-1,0,1,-1,0,1,-1,0,-1,1,1,0,0,1,0,-1,0,-1,1,0,-1,1,-1,-1
Inocêncio Oliveira,PFL,PE,0,1,1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,0,1,-1,-1,1,-1,-1,0,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,1,1,-1
Renildo Calheiros,PCdoB,PE,0,0,0,0,0,1,1,1,0,0,1,1,-1,-1,-1,1,-1,1,1,0,0,-1,0,-1,-1,0,1,-1,1,1,0,0,0,0,1,0,0,1,-1,-1
Paes Landim,PFL,PI,0,1,0,1,0,-1,-1,0,0,0,1,0,0,1,1,0,1,-1,1,-1,0,1,0,1,1,-1,-1,0,0,-1,0,1,0,1,-1,1,0,1,1,0
Ciro Nogueira,PFL,PI,0,1,1,1,0,-1,-1,0,1,1,1,0,0,1,1,0,0,-1,-1,1,0,-1,1,1,1,-1,-1,-1,0,-1,1,1,1,1,-1,0,0,1,1,0
Paulo Bernardo,PT,PR,1,0,-1,-1,0,1,1,1,1,0,1,0,-1,-1,-1,0,-1,1,0,-1,0,0,-1,0,0,0,0,0,1,1,0,0,0,-1,1,0,-1,0,-1,-1
Carlos Santana,PT,RJ,1,0,0,0,0,1,1,1,0,0,1,-1,-1,-1,-1,-1,0,0,0,0,0,1,-1,0,0,0,1,-1,0,0,0,0,0,-1,1,0,0,0,0,0
Jandira Feghali,PCdoB,RJ,1,0,0,0,0,1,1,0,1,0,1,1,-1,-1,-1,0,-1,1,1,0,0,-1,-1,-1,-1,-1,1,-1,0,0,0,-1,0,-1,1,-1,-1,1,-1,-1
Henrique Eduardo Alves,PMDB,RN,1,1,1,1,0,-1,1,-1,1,0,1,-1,-1,1,0,0,0,1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,0,1,0,1,1,1,1,0,-1,0
Luci Choinacki,PT,SC,0,0,0,0,0,1,0,0,1,0,1,-1,-1,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,1,0,0,0,-1,1,0,0,0,-1,-1
Valdemar Costa Neto,PL,SP,0,0,1,1,0,-1,-1,-1,1,0,1,0,0,1,1,1,0,-1,0,0,0,1,0,0,1,-1,-1,1,0,0,1,0,0,0,-1,0,1,1,1,0
Antonio Carlos Mendes Thame,PSDB,SP,1,-1,0,0,1,0,-1,1,1,0,0,1,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,-1,0,-1,-1
Aldo Rebelo,PCdoB,SP,0,0,0,0,0,1,1,0,1,0,1,1,-1,-1,-1,1,1,1,1,1,0,-1,0,-1,-1,-1,1,-1,0,1,0,-1,0,-1,1,-1,0,1,-1,-1
Olavo Calheiros,PMDB,AL,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-1,1,-1,1,0,-1,0,0,-1,1,1,1,0,1,-1,-1,-1,0,0,0,-1,0,0,0
Roberto Jefferson,PTB,RJ,1,1,1,1,1,0,-1,0,1,0,0,1,0,1,0,1,1,1,-1,0,0,-1,0,1,1,-1,-1,1,-1,-1,0,1,0,1,0,0,0,1,1,0
Adão Pretto,PT,RS,1,0,0,0,0,1,1,1,1,0,1,-1,-1,-1,-1,-1,0,1,0,-1,0,0,-1,0,-1,0,0,0,1,1,0,0,0,1,1,0,0,0,-1,-1
César Bandeira,PFL,MA,0,0,1,1,0,0,-1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,-1,1,1,1,0,0,-1,0,0,1,0,1,1,-1,1,1,0,1,-1
Nelson Trad,PTB,MS,0,1,0,1,0,-1,-1,0,1,0,1,-1,1,-1,1,1,1,-1,-1,0,0,-1,1,1,1,-1,-1,-1,-1,-1,0,1,0,0,-1,0,1,0,1,-1
Adauto Pereira,PFL,PB,1,0,0,0,1,-1,-1,0,1,0,1,-1,0,0,1,0,1,-1,-1,1,0,-1,1,1,1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,1,1,-1
Miguel Arraes,PSB,PE,0,-1,0,0,0,1,1,1,0,0,1,0,-1,0,-1,1,-1,1,1,0,0,-1,-1,0,0,1,1,0,1,1,0,0,0,-1,1,0,-1,1,-1,1
Nelson Marquezelli,PTB,SP,0,0,0,0,1,-1,-1,-1,1,0,1,1,1,0,1,0,1,-1,-1,0,0,-1,1,1,1,0,0,1,0,-1,1,1,0,1,-1,0,0,1,1,-1
Ney Lopes,PFL,RN,0,1,1,1,0,-1,-1,0,1,0,1,0,0,0,0,0,1,-1,0,1,0,0,1,1,1,-1,-1,0,-1,-1,1,1,0,1,0,0,1,0,1,-1
Osvaldo Coelho,PFL,PE,0,1,1,0,0,-1,0,0,0,1,0,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1,0
