nome,partido,uf,PDC 141/1991,PDC 82/1991,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 61/1990,PEC 61/1990,PEC 82/1991,PEC 82/1991,PEC 82/1991,PL 1258/1988,PL 1258/1988,PL 1258/1988,PL 1991/1991,PL 202/1991,PL 202/1991,PL 202/1991,PL 2145/1991,PL 2592/1992,PL 2592/1992,PL 2747/1992,PL 2747/1992,PL 2747/1992,PL 2747/1992,PL 2920/1992,PL 2990/1992,PL 2990/1992,PL 3031/1992,PL 3387/1992,PL 3399/1992,PL 4573/1990,PL 4573/1990,PL 5051/1990,PL 8/1991,PRC 93/1992,PRC 93/1992
Félix Mendonça,PTB,BA,-1,1,1,1,0,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,1,1,0,1,-1,0,1,1,1,1,-1,0,1,1,1,0,0,-1,1,0,0,0,0
Geddel Vieira Lima,PMDB,BA,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,-1,-1,0,1,0,1,1,0,0,0,1,1,0,0,1,1
Jairo Carneiro,PFL,BA,0,0,1,1,1,1,1,0,0,1,-1,1,0,0,0,1,0,0,0,1,0,1,1,-1,0,0,1,1,1,-1,1,0,1,1,0,0,-1,1,1,0,1,1
Aroldo Cedraz,PFL,BA,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,-1,0,1,0,0,1,0,1,0,0,1,0,0,-1,1,0,0,1,1
José Carlos Aleluia,PFL,BA,0,0,1,1,1,1,1,0,0,1,-1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,-1,0,1,1,0,1,-1,-1,1,0,0,1,1
Jutahy Junior,PSDB,BA,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,-1,0,0,1,1,-1,1,-1,-1,-1,1,0,1,1,0,0,0,1,-1,0,0,0,0
Osório Adriano,PFL,DF,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,-1,0,1,0,0,0,0,-1,1,1,0,0,0
Rose de Freitas,PSDB,ES,0,1,1,1,1,0,0,0,0,0,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
Ronaldo Caiado,PFL,GO,0,0,1,1,1,1,1,0,0,1,-1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,0,0,0
Paulo Delgado,PT,MG,0,0,-1,1,-1,1,1,1,0,1,-1,1,1,0,1,1,1,0,0,-1,0,0,0,1,-1,-1,-1,-1,-1,1,1,-1,0,0,0,1,1,0,-1,0,0,0
Fernando Diniz,PMDB,MG,0,1,1,0,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1
Lael Varella,PFL,MG,0,1,-1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,-1,0,0,0,0,0
José Santana de Vasconcellos,PFL,MG,0,1,-1,-1,1,0,-1,0,0,1,-1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,-1,0,1,1,1,0,-1,0,1,0,0,1,1
Vittorio Medioli,PSDB,MG,0,1,1,1,1,0,1,0,0,1,-1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,-1,0,1,1,0,0,1,1,-1,1,0,1,1
