nome,partido,uf,PDC 141/1991,PDC 256/1993,PDC 44/1984,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PL 1258/1988,PL 149/1991,PL 1491/1991,PL 1491/1991,PL 1491/1991,PL 1909/1991,PL 2801/1992,PL 3387/1992,PL 3497/1993,PL 3519/1993,PL 3610/1993,PL 3610/1993,PL 3716/1993,PL 3716/1993,PL 3831/1993,PL 3831/1993,PL 3831/1993,PL 3831/1993,PL 3984/1993,PL 4176/1993,PL 4176/1993,PL 4233/1993,PL 4233/1993,PL 4562/1989,PL 4621/1990,PL 73/1991,PL 8/1991,PL 824/1991,PL 824/1991,PL 965/1991
Félix Mendonça,PTB,BA,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,1,1,1,1,0,1,1,0,0,1,-1,-1,0,1,0,0,0,-1,-1,-1,-1,-1,1,1,0,0,-1,1,0,-1,1,1,1
Geddel Vieira Lima,PMDB,BA,1,1,0,1,0,0,0,0,0,0,0,0,1,-1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,-1,1,0,1,1,1,0,-1,0,0,1,0,0,0,0,-1,0,0,0,0,0,-1,0
Jairo Carneiro,PFL,BA,-1,1,-1,-1,0,0,-1,-1,-1,-1,0,1,1,1,-1,0,-1,-1,1,0,1,0,1,1,1,-1,0,1,0,-1,0,0,-1,0,1,-1,-1,-1,-1,-1,0,1,0,1,1,-1,0,-1,1,-1,1
Aroldo Cedraz,PFL,BA,-1,0,0,-1,-1,0,-1,-1,0,-1,-1,1,1,0,-1,-1,0,0,0,0,0,1,1,0,0,0,-1,1,-1,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-1,-1,1,-1,1
José Carlos Aleluia,PFL,BA,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,-1,1,-1,-1,0,-1,1,-1,0
Osório Adriano,PFL,DF,0,1,0,-1,-1,-1,-1,-1,0,0,-1,-1,1,1,-1,-1,-1,-1,1,1,0,1,1,0,0,0,-1,0,0,-1,1,1,-1,0,1,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0
Rose de Freitas,PSDB,ES,0,0,0,1,1,-1,0,-1,0,0,0,1,1,0,1,1,1,-1,1,0,1,0,0,0,0,0,0,-1,0,1,0,1,1,1,0,0,0,0,0,-1,0,0,1,-1,1,0,0,0,1,-1,0
Vilmar Rocha,PFL,GO,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,0,0,0,0,1,0,-1,-1,1,1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,-1,-1,-1,-1,1,0,1
Ronaldo Caiado,PFL,GO,0,1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,0,0,1,1,1,0,1,1,-1,0,1,0,-1,1,1,-1,0,0,-1,1,-1,-1,0,1,1,1,-1,-1,0,0,-1,1,1,1
Neiva Moreira,PDT,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,-1,0,0,0,0,0,0,0
Paulo Delgado,PT,MG,-1,0,1,1,1,-1,-1,-1,0,0,0,1,-1,1,0,1,1,0,1,-1,-1,1,0,-1,0,0,-1,0,-1,0,0,0,-1,1,1,0,0,-1,1,1,-1,-1,1,-1,0,0,-1,1,-1,1,1
Fernando Diniz,PMDB,MG,0,1,0,1,1,-1,-1,-1,0,0,-1,1,1,-1,1,1,1,-1,1,1,1,0,1,0,1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,0,1,1,0,-1,0,-1,-1,-1,1,1,1
Lael Varella,PFL,MG,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,-1,0,-1,-1,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,1
José Santana de Vasconcellos,PFL,MG,0,1,1,1,1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,-1,0,-1,0,1,0,0,-1,-1,0,-1,0,1,1,0,0,-1,1,-1,-1,1,0,1
Vittorio Medioli,PSDB,MG,-1,1,0,1,1,-1,-1,-1,-1,-1,-1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,1,-1,0
Osmânio Pereira,PSDB,MG,-1,1,0,1,1,0,-1,-1,0,0,-1,1,1,0,1,1,1,0,1,1,1,1,1,-1,0,0,1,0,-1,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,1,-1,-1,1,-1,-1,1,-1,0
Sérgio Miranda,PCdoB,MG,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,0,1,-1,-1,0,1,1,1,-1,1,0,1,-1,0,1,1,-1,-1,1,-1,0,1,0,1,0,1,1
Wellington Fagundes,PL,MT,0,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,0,1,1,1,-1,0,1,1,0,1,1,0,1,1,0,0,-1,-1,1,0,0,0,0,0,0,0,-1,0,1,1,0,0,1,0,-1,0,0,0
Paulo Rocha,PT,PA,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,-1,0,-1,0,0,-1,0,1,1,1,-1,0,0,1,-1,-1,1,1,-1,-1,1,-1,0,1,-1,1,0,1,-1
Roberto Freire,PPS,PE,-1,1,0,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,0,0,-1,-1,0,1,0,-1,1,1,1,1,1,1,1,0,0,1,-1,0,0,1,-1,0,1,-1,1,1,-1,1
Inocêncio Oliveira,PFL,PE,0,0,0,1,1,-1,-1,-1,-1,-1,-1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1
Renildo Calheiros,PCdoB,PE,0,1,1,1,1,-1,0,-1,-1,0,0,1,-1,-1,1,1,1,-1,1,-1,1,0,-1,-1,0,0,-1,-1,-1,1,1,1,-1,1,0,1,0,0,1,0,0,0,1,-1,0,1,-1,1,0,1,1
Mussa Demes,PFL,PI,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,1,1,-1,-1,1,0,1,1,0,0,1,0,1,1,-1,1,1,1,0,0,1,0,0,-1,0,0,1,1,0,1,0,0,0,-1,0,-1,0
