nome,partido,uf,PDC 383/1993,PDC 413/1994,PL 171/1987,PL 3712/1993,PL 4005/1993,PL 4151/1993,PL 4218/1993,PL 4218/1993,PL 4223/1993,PL 4386/1994,PL 4393/1994,PL 4518/1994,PL 4672/1994,PL 4851/1994,PL 4881/1994,PL 68/1991
Félix Mendonça,PTB,BA,0,1,0,0,0,-1,0,0,0,0,1,0,0,1,0,0
Geddel Vieira Lima,PMDB,BA,0,1,-1,0,1,0,0,0,-1,0,0,-1,0,1,0,1
Jairo Carneiro,PFL,BA,1,1,0,-1,0,-1,1,1,1,0,1,0,1,1,1,1
Aroldo Cedraz,PFL,BA,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0
José Carlos Aleluia,PFL,BA,0,1,-1,-1,-1,0,1,1,1,0,1,-1,0,1,1,1
Jutahy Junior,PSDB,BA,0,1,1,-1,-1,0,1,1,0,0,1,-1,0,1,1,1
Osório Adriano,PFL,DF,1,1,0,-1,0,0,0,0,-1,1,0,0,0,1,0,1
Rose de Freitas,PSDB,ES,0,1,0,-1,1,1,1,1,-1,0,0,-1,0,0,0,1
Vilmar Rocha,PFL,GO,1,1,-1,-1,0,0,1,0,-1,1,1,0,0,0,1,0
Ronaldo Caiado,PFL,GO,1,1,0,0,1,-1,0,1,-1,1,0,-1,1,0,0,0
Neiva Moreira,PDT,MA,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Paulo Delgado,PT,MG,-1,1,0,0,0,1,1,1,0,0,-1,1,0,0,0,1
Fernando Diniz,PMDB,MG,1,1,-1,-1,1,0,1,1,0,0,1,0,1,1,0,1
Lael Varella,PFL,MG,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1
José Santana de Vasconcellos,PFL,MG,1,1,0,-1,1,0,1,1,0,0,1,0,1,1,1,1
Vittorio Medioli,PSDB,MG,1,0,1,0,1,-1,0,1,0,-1,1,1,1,-1,1,1
Osmânio Pereira,PSDB,MG,-1,1,0,-1,0,1,0,1,-1,-1,1,1,0,-1,1,0
Sérgio Miranda,PCdoB,MG,-1,1,1,-1,-1,0,0,1,-1,0,-1,1,-1,1,-1,0
Wellington Fagundes,PL,MT,1,0,0,0,0,-1,0,1,-1,1,1,1,1,1,1,0
Paulo Rocha,PT,PA,0,0,0,0,-1,1,1,1,-1,0,-1,1,0,0,0,1
Roberto Freire,PPS,PE,0,1,0,0,1,0,0,1,-1,0,0,0,1,0,1,1
Inocêncio Oliveira,PFL,PE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Renildo Calheiros,PCdoB,PE,1,0,1,-1,0,0,0,0,-1,0,-1,1,-1,1,-1,1
Mussa Demes,PFL,PI,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0
Paes Landim,PFL,PI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ciro Nogueira,PFL,PI,0,0,-1,-1,0,0,0,-1,0,0,0,1,1,1,0,0
Paulo Bernardo,PT,PR,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,0
Moacir Micheletto,PMDB,PR,0,1,0,-1,0,0,0,1,0,0,0,0,1,1,0,1
Abelardo Lupion,PFL,PR,0,1,0,-1,0,0,0,0,0,1,0,0,1,1,1,0
