nome,partido,uf,PDC 160/1995,PDC 443/1994,PDC 451/1995,PDC 451/1995,PDC 451/1995,PDC 452/1995,PDC 452/1995,PDC 95/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 182/1994,PEC 182/1994,PEC 3/1995,PEC 3/1995,PEC 3/1995,PEC 3/1995,PEC 3/1995,PEC 3/1995,PEC 3/1995,PEC 3/1995,PEC 3/1995,PEC 4/1995,PEC 4/1995,PEC 4/1995,PEC 4/1995,PEC 48/1995,PEC 48/1995,PEC 5/1995,PEC 5/1995,PEC 5/1995,PEC 5/1995,PEC 5/1995,PEC 6/1995,PEC 6/1995,PEC 6/1995,PEC 6/1995,PEC 6/1995,PEC 6/1995,PEC 6/1995,PEC 6/1995,PEC 6/1995,PEC 7/1995,PEC 7/1995,PEC 7/1995,PEC 7/1995,PEC 7/1995,PEC 7/1995,PEC 7/1995,PEC 7/1995,PEC 7/1995,PEC 7/1995,PL 1088/1995,PL 1088/1995,PL 1236/1995,PL 1236/1995,PL 154/1995,PL 1670/1989,PL 1727/1991,PL 180/1995,PL 180/1995,PL 180/1995,PL 180/1995,PL 180/1995,PL 180/1995,PL 180/1995,PL 180/1995,PL 194/1995,PL 199/1995,PL 199/1995,PL 233/1995,PL 2331/1991,PL 305/1991,PL 373/1995,PL 373/1995,PL 373/1995,PL 373/1995,PL 3804/1993,PL 3981/1993,PL 40/1995,PL 4109/1993,PL 426/1995,PL 426/1995,PL 4386/1994,PL 4555/1994,PL 4645/1994,PL 47/1995,PL 4792/1990,PL 4851/1994,PL 4851/1994,PL 4851/1994,PL 642/1995,PL 869/1995,PL 869/1995,PL 899/1995,PL 899/1995,PL 914/1995,PL 992/1995,PLP 9/1995,PRC 1/1995,PRC 21/1995,PRC 229/1994
Valdenor Guedes,PPB,AP,0,0,0,0,0,0,0,0,1,1,-1,1,0,0,1,1,1,0,-1,-1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,0,1,0
Severiano Alves,PDT,BA,0,-1,0,0,0,0,0,0,-1,-1,1,-1,0,0,0,0,-1,0,0,0,0,1,-1,0,0,0,1,1,-1,-1,1,-1,0,-1,-1,1,0,-1,1,-1,-1,1,0,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,0,0,1,0,1,-1,0,0,-1,-1,1,0,0,0,-1,1,0,0,-1,0,1,0,-1,1,0,1,0,1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,1,0,0,0,0,1,-1,0,1,-1,1,0,1,1,0,0
Félix Mendonça,PTB,BA,1,1,1,1,1,1,0,1,1,1,-1,-1,1,0,1,1,1,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,1,1,0,0,-1,-1,1,1,1,-1,-1,1,1,-1,1,1,0,1,0,0,0,-1,0,1,1,1,1,1,1,-1,-1,1,1,1,0,1,1,0,1,-1,1,1,1,1,1,1
Geddel Vieira Lima,PMDB,BA,0,0,1,0,1,1,1,1,1,1,-1,-1,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,0,-1,1,1,-1,1,-1,1,1,-1,0,1,-1,1,0,-1,1,-1,-1,1,-1,0,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,-1,1,-1,1,1,1,0,1,-1,1,1,0,0,1,-1,1,1,0,-1,1,1,1,-1,1,-1,-1,0,1,1,0,1,1,1
Jairo Carneiro,PFL,BA,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,-1,-1,0,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,0,1,1,-1,1,1,-1,1,-1,-1,1,0,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,0,-1,1,0,1,0,0,0,-1,1,1,1,-1,1,1,1,1,-1,0,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,-1,1,0,0,0,1,0,1,0
Claudio Cajado,PFL,BA,1,1,0,0,0,0,0,1,1,1,-1,-1,1,0,1,1,1,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,0,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,0,-1,1,0,0,0,1,1,0,1,-1,1,1,1,1,0,0
José Rocha,PFL,BA,1,0,0,0,0,0,0,1,1,1,-1,-1,1,0,1,1,1,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,-1,0,1,1,1,0,0,1,-1,-1,1,0,0,0,1,1,-1,1,-1,1,1,1,1,1,0
Aroldo Cedraz,PFL,BA,1,0,0,0,0,0,0,0,1,1,-1,-1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,0,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,0,1,1,1,1,-1,1,0,1,-1,1,1,0,0,0,1,1,-1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,-1,0,1,0,0,0,1,1,-1,1,0,1,-1,1,1,1,0
José Carlos Aleluia,PFL,BA,0,1,0,0,0,0,0,1,1,1,-1,-1,1,0,1,1,1,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,0,1,1,-1,1,1,-1,0,1,-1,1,-1,-1,0,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,0,-1,1,1,1,1,0,1,-1,1,1,-1,-1,1,1,1,-1,-1,0,1,-1,0,1,1,1,-1,1,0,-1,1,1,0,0,1,1,1,1,-1,1,0,0,0,0,1,-1,1,-1,1,1,1,1,1,0
Jutahy Junior,PSDB,BA,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
