nome,partido,uf,PDC 337/1996,PEC 198/1995,PEC 233/1995,PEC 233/1995,PEC 233/1995,PEC 233/1995,PEC 233/1995,PEC 233/1995,PEC 25/1995,PEC 256/1995,PEC 256/1995,PEC 256/1995,PEC 256/1995,PEC 256/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 367/1996,PEC 41/1991,PEC 41/1991,PEC 41/1991,PL 102/1995,PL 102/1995,PL 1059/1995,PL 1125/1995,PL 1151/1995,PL 1229/1995,PL 1258/1988,PL 1275/1995,PL 1275/1995,PL 1287/1995,PL 1287/1995,PL 1325/1995,PL 1409/1996,PL 1487/1996,PL 1487/1996,PL 1536/1996,PL 1564/1996,PL 1612/1996,PL 1669/1996,PL 1669/1996,PL 1669/1996,PL 1724/1996,PL 1724/1996,PL 1801/1996,PL 1801/1996,PL 1838/1996,PL 1838/1996,PL 189/1983,PL 1935/1996,PL 1935/1996,PL 200/1995,PL 200/1995,PL 201/1995,PL 2085/1996,PL 2284/1996,PL 2317/1996,PL 2317/1996,PL 2448/1996,PL 2448/1996,PL 2504/1996,PL 2801/1992,PL 4018/1993,PL 4018/1993,PL 4716/1994,PL 490/1995,PL 738/1995,PL 7865/1986,PL 824/1991,PL 824/1991,PL 824/1991,PL 846/1995,PL 899/1995,PL 914/1995,PRC 60/1995,PRC 60/1995,PRC 60/1995
Valdenor Guedes,PPB,AP,-1,1,-1,1,-1,0,0,0,0,1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,1,-1,0,0,1,1,0,-1,1,1,0,0,-1,1,0,0,-1,1,1,0,1,1,1,0,1,1,1,1,0,0,-1,1,0,0,0,-1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,-1,1,0,1,1,0,1,-1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,-1,-1,1,1,1,1,0,1,-1,1,-1,-1,1,1,-1,-1,1,1,1
Severiano Alves,PDT,BA,0,1,0,0,0,0,0,0,-1,1,0,1,0,1,-1,0,0,-1,1,-1,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,0,-1,0,-1,0,0,-1,0,0,1,1,0,0,0,0,0,0,1,1,-1,1,-1,0,1,-1,0,-1,-1,0,0,0,0,1,0,0,-1,0,0,1,0,-1,0,0,-1,0,0,0,1,1,-1,0,0,0,-1,1,0,0,-1,0
Félix Mendonça,PTB,BA,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,0,-1,1,1,1,1,0,1,-1,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,0,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,-1,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1
Geddel Vieira Lima,PMDB,BA,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,0,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,0,1,-1,1,-1,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1,1,1,1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,-1,1,0,-1,-1,-1,1,-1,-1,-1,1,1,1,0,1,1
Jairo Carneiro,PFL,BA,0,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,0,-1,1,-1,-1,-1,1,1,0,1,1,1,0,1,-1,1,1,1,1,-1,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,-1,0,1,1,1,-1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,-1,1,1,0,-1,1,1,-1,1,-1,1,0,-1,1,1,1,0,1,1,1
Claudio Cajado,PFL,BA,0,-1,-1,1,-1,-1,1,0,-1,0,0,0,0,1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,-1,1,1,1,-1,0,1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1
José Rocha,PFL,BA,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,0,-1,1,1,1,1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,-1,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1
Aroldo Cedraz,PFL,BA,0,-1,-1,1,-1,-1,1,-1,0,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,0,-1,1,-1,-1,-1,1,1,0,1,1,1,0,1,-1,1,1,1,0,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,-1,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1
José Carlos Aleluia,PFL,BA,-1,-1,-1,1,-1,-1,1,-1,0,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,0,-1,-1,1,1,0,0,1,1,0,1,-1,1,1,1,0,-1,1,-1,0,1,1,1,1,1,1,-1,1,0,1,1,0,0,1,1,1,0,1,0,-1,0,1,1,1,-1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,-1,1,0,-1,1,-1,0,-1,-1,1,1,1,1,0,1,1
José Linhares,PPB,CE,0,1,-1,1,-1,-1,0,-1,1,1,-1,-1,-1,1,1,0,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,0,-1,-1,1,-1,-1,-1,1,1,1,1,-1,1,1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,-1,1,-1,1,0,1,1,1,0,1,1,1,0,1,-1,1,-1,1,-1,0,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1
