nome,partido,uf,PDC 414/1997,PDC 573/1997,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 338/1996,PEC 338/1996,PEC 338/1996,PEC 338/1996,PEC 338/1996,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PL 1/1995,PL 1131/1995,PL 1151/1995,PL 1210/1995,PL 1210/1995,PL 1210/1995,PL 1317/1988,PL 1521/1996,PL 1530/1996,PL 1530/1996,PL 1869/1996,PL 2085/1996,PL 2142/1996,PL 2226/1996,PL 2319/1996,PL 2353/1996,PL 2381/1996,PL 2381/1996,PL 2653/1996,PL 2688/1996,PL 2695/1997,PL 2695/1997,PL 2695/1997,PL 2695/1997,PL 2695/1997,PL 2695/1997,PL 3100/1997,PL 3100/1997,PL 3241/1997,PL 3242/1997,PL 3242/1997,PL 3553/1997,PL 3553/1997,PL 3920/1997,PL 4425/1994,PL 4425/1994,PL 4425/1994,PL 469/1995,PL 4695/1994,PL 5430/1990,PL 720/1995,PL 821/1995,PL 821/1995,PL 821/1995,PL 821/1995,PL 821/1995,PL 821/1995,PLP 14/1995,PLP 14/1995,PLP 214/1997,PRC 136/1997
Pauderney Avelino,PFL,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,1,1,1,0,0,0,0,0,-1,1,1,1,1,-1,-1,0,1,-1,1,-1,1,-1,1,-1,-1,1,0,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,-1,0,0,0,1,0,1,0,-1,1,1,0,0,0,-1,0,0,0,0,1,0,0,1,-1,0,0,0,0,1
Valdenor Guedes,PPB,AP,1,-1,1,0,1,0,-1,1,0,0,-1,1,0,0,1,1,1,-1,0,1,0,-1,-1,0,-1,1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,1,1,0,-1,1,-1,1,0,1,1,0,1,1,0,1,1,-1,1,1,0,1,1,-1,0,-1,-1,1,-1,0,1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,0,1,1,-1,-1,0,0,-1,1,1,-1
Severiano Alves,PDT,BA,0,0,0,0,1,0,-1,1,0,0,0,-1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,1,-1,0,0,1,1,1,0,0,-1,-1,1,0,0,0,-1,-1,0,-1,-1,-1,-1,1,1,0,-1,1,-1,1,1,1,1,-1,0,0,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,1,1,1,0,0,0,-1,0,-1,-1,-1,-1,0,0,1,-1,0,-1,0,0,-1,0,0,1,-1,1,-1,-1,0,1,0,0,-1,0,-1,0,0,-1,1,1,0,-1,1,0,-1,-1,0,0,0,0,0,0,1,0
Luiz Alberto,PT,BA,0,0,-1,0,1,-1,-1,1,1,1,1,-1,1,-1,1,1,-1,1,1,-1,-1,0,0,0,0,0,-1,1,1,-1,1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,-1,0,-1,-1,1,-1,1,-1,-1,-1,0,1,-1,1,-1,1,-1,-1,-1,1,1,0,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,0,1,1,-1,0,-1,-1,-1,0,0,0,-1,1,0,0,-1,-1,1,1,1,-1,0,0,-1,-1,1,-1,1,0,0,0,0,-1
Walter Pinheiro,PT,BA,0,0,-1,0,1,-1,-1,1,1,1,0,-1,1,0,1,1,-1,1,1,-1,-1,1,0,0,0,0,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,0,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,0,0,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,1,1,-1,1,-1,-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,1,1,0,-1,1,0,-1,-1,0,-1,1,0,1,-1,1,-1
Félix Mendonça,PTB,BA,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,1,1,0,1,-1,0,0,0,1,1,1,0,0,0,-1,0,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,-1,0,1,-1,1,1,-1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,-1,1,0,1,0,0,1,1,-1,1,1,0,1,-1,-1,1,1,-1,1,1,1,-1,1,-1,0,1,1,1,1
Geddel Vieira Lima,PMDB,BA,0,0,1,1,-1,1,-1,-1,-1,1,-1,1,-1,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,0,-1,-1,0,0,0,1,1,1,0,0,-1,-1,0,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,0,0,0,0,1,1,1,1,1,1,-1,1,1,0,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,-1,0,1,0,1,1,-1,1,1,0,1,1,0,1,0,1,1,1,1,1,-1,1,-1,1,1,1,0,1,1,-1,1,0,0,1,-1,0,0,1,0,1,1,1,-1,1,-1,0,0,0,1,1
Colbert Martins,PPS,BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,1,1,1,0,1,0,0,0,0,0,0,0,1,-1,1,0
Jairo Carneiro,PFL,BA,1,-1,1,1,-1,-1,-1,-1,-1,-1,0,1,0,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,0,0,0,1,1,1,0,0,0,-1,-1,-1,0,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,0,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,0,-1,1,-1,1,1,-1,1,1,0,1,1,0,1,-1,1,0,1,0,1,1,-1,1,1,1,1,0,0,1,-1,1,0,1,1,-1,-1,1,0,-1,1,1,1,-1,0,0,0,1,1,1,1
Claudio Cajado,PFL,BA,0,-1,1,1,0,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,1,-1,-1,1,1,0,1,-1,0,0,0,1,1,1,0,0,0,0,0,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,-1,0,0,-1,1,0,-1,1,1,0,1,0,0,0,-1,1,1,1,1,0,1,-1,1,1,1,1,0,1,1,-1,1,1,1,1,-1,-1,1,0,-1,1,1,1,-1,1,-1,0,1,1,1,1
