nome,partido,uf,MSC 910/1997,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 472/1997,PEC 472/1997,PEC 526/1997,PL 1164/1991,PL 200/1995,PL 3066/1997,PL 3283/1997,PL 3901/1997,PL 4011/1997,PL 4046/1997,PL 4053/1998,PL 4071/1998,PL 4071/1998,PL 4071/1998,PL 4300/1998,PL 4598/1998,PL 4598/1998,PL 4605/1998,PL 4606/1998,PL 4606/1998,PL 4606/1998,PL 4606/1998,PL 4606/1998,PL 4769/1998,PL 518/1995,PLP 216/1998,PLP 216/1998,PLP 216/1998,PLP 216/1998
Pauderney Avelino,PFL,AM,1,0,0,0,1,-1,-1,0,0,0,0,-1,0,0,0,0,0,-1,-1,1,0,0,-1,0,-1,-1,0,0,1,-1,-1,1,0,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,0,0,0,0,1,0,1,-1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Valdenor Guedes,PPB,AP,0,1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,1,1,-1,-1,1,1,-1,1,0,1,-1,1,1,0,1,0,1,1,1,-1,0,-1,0,-1,1,0,1,-1,-1,1,1,1,-1,1,1,-1,1,1,1
Severiano Alves,PDT,BA,0,0,0,0,0,1,1,0,1,1,1,1,-1,0,1,1,1,0,1,-1,1,1,0,-1,1,0,1,0,0,0,0,1,-1,-1,1,0,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,0,0,-1,-1,-1,0,1,0,-1,-1,1,1,-1,1,1,1,-1,1,1,0,0,1,0,0,1,-1,1,0,0,0,-1,1,0,0,0,0,0,-1,0,0,1,1,0,-1,-1
Luiz Alberto,PT,BA,-1,-1,-1,-1,-1,-1,1,0,1,1,1,1,-1,1,1,1,1,0,1,-1,1,1,1,0,0,0,0,0,0,1,1,-1,-1,-1,1,0,-1,-1,1,-1,0,0,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,0,1,-1,0,0,1,-1,-1,-1,1,-1,0,0,1,1,0,1,-1,-1,-1,1,0,0,0,0,0,0
Walter Pinheiro,PT,BA,-1,-1,-1,-1,-1,0,0,0,1,1,1,1,-1,1,1,1,0,0,1,-1,1,1,1,-1,1,1,1,1,0,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,1,0,1,0,-1,0,1,-1,0,-1,1,0,0,1,-1,-1,-1,1,1,1,1,-1,-1,-1
Félix Mendonça,PTB,BA,1,1,-1,1,1,0,-1,0,-1,0,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,0,0,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,0,1,0,1,1,0,-1,1,-1,1,0,0,0,-1,1,1,0,-1,1,1,-1,1,1,1
Geddel Vieira Lima,PMDB,BA,1,1,-1,1,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,-1,1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,1,1,1,0,0,1,1,-1,1,1,0,0,0,1,1,0,0,0,-1,1,-1,-1,0,0,-1,0,0,1,-1,1,-1,-1,0,1,0,0,1,-1,0,1,-1,1,0,0,0,-1,1,0,1,-1,1,1,0,1,1,1
Colbert Martins,PPS,BA,-1,-1,-1,-1,-1,-1,1,1,0,1,1,1,1,1,1,-1,-1,0,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,1,1,-1,1,1,1,0,1,1,1,-1,1,0,-1,1,0,-1,1,-1,0,0,1,1,0,1,0,-1,-1,0,1,-1,0,0,0,0
Jairo Carneiro,PFL,BA,1,1,-1,1,1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,0,0,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,0,1,1,1,1,0,0,1,-1,1,0,0,0,-1,1,1,1,-1,1,1,-1,1,1,1
Claudio Cajado,PFL,BA,0,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,1,-1,0,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,0,0,1,1,1,0,-1,1,-1,0,0,0,0,-1,1,1,1,0,1,1,-1,1,1,1
