nome,partido,uf,MSC 1125/1998,MSC 1502/1998,MSC 627/1998,MSC 910/1997,MSC 99/1996,PDC 186/1999,PDC 233/1999,PDC 658/1998,PEC 169/1993,PEC 169/1993,PEC 169/1993,PEC 33/1999,PEC 33/1999,PEC 33/1999,PEC 407/1996,PEC 407/1996,PEC 407/1996,PEC 407/1996,PEC 407/1996,PEC 472/1997,PEC 472/1997,PEC 472/1997,PEC 498/1997,PEC 526/1997,PEC 626/1998,PEC 626/1998,PEC 626/1998,PEC 626/1998,PEC 626/1998,PEC 626/1998,PEC 627/1998,PEC 627/1998,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 82/1995,PEC 85/1999,PEC 85/1999,PL 1/1995,PL 1527/1999,PL 1527/1999,PL 1699/1999,PL 2514/1996,PL 2737/1997,PL 2942/1992,PL 2960/1997,PL 2961/1997,PL 2961/1997,PL 3599/1997,PL 3651/1997,PL 3769/1997,PL 4071/1998,PL 4071/1998,PL 4224/1998,PL 4690/1998,PL 4693/1998,PL 4693/1998,PL 4694/1998,PL 4695/1998,PL 4736/1998,PL 4767/1998,PL 4811/1998,PL 4811/1998,PL 4811/1998,PL 4812/1998,PL 4812/1998,PL 4812/1998,PL 4895/1999,PL 4895/1999,PL 4898/1999,PL 4898/1999,PL 643/1988,PL 752/1999,PL 755/1999,PL 787/1999,PL 88/1999,PL 88/1999,PL 934/1999,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 149/1997,PLP 23/1999,PLP 24/1999,PLP 24/1999,PLP 24/1999,PLP 24/1999,PLP 24/1999,PLP 248/1998,PLP 248/1998,PLP 248/1998,PLP 248/1998,PLP 250/1998,PLP 250/1998,PLP 250/1998,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 83/1999,RCP 10/1995,REC 20/1999
Nilson Mourão,PT,AC,1,0,0,-1,1,0,1,0,-1,1,1,0,0,0,0,0,0,0,1,1,1,1,-1,0,1,1,-1,1,1,-1,1,0,1,1,1,-1,-1,-1,0,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,0,-1,0,-1,-1,-1,1,0,0,-1,-1,1,0,1,0,0,0,1,-1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,-1,-1,1,1,1,1,1,1,-1,0,1,1,-1,1,-1,0,-1,1
José Thomaz Nonô,PFL,AL,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,0,0,0,0,1,-1,1,1,1,0,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,1,1,0,0,0,1,0,0,0,1,-1,0,0,0,1,0,1,0,0,1,0,0,1,-1,1,1,1,1,0,1,0,1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1,-1,1,1,1,1,-1
Silas Câmara,PTB,AM,0,0,0,0,0,0,1,0,-1,1,1,0,0,-1,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,1,0,1,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,0,0
Pauderney Avelino,PFL,AM,0,1,1,1,-1,1,1,0,-1,1,1,-1,1,1,1,1,0,-1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,0,1,1,1,1,1,1,-1,1,-1,-1,1,0,1,1,-1,1,1,1,0,1,0,1,0,1,1,1,-1,1,1,-1,1,-1,1,-1,0,1,0,0,1,-1,0,1,1,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,1,1,1,1,-1
Vanessa Grazziotin,PCdoB,AM,1,0,0,-1,1,1,1,0,-1,1,1,-1,0,1,1,1,1,-1,1,1,1,1,-1,0,1,1,1,1,1,1,1,0,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,0,-1,1,-1,-1,1,1,0,0,-1,-1,1,0,1,0,0,0,-1,1,1,-1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,-1,-1,1,0,-1,-1,-1,-1,1,-1,-1,-1,0,0,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,-1,1
Valdenor Guedes,PPB,AP,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Severiano Alves,PDT,BA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luiz Alberto,PT,BA,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walter Pinheiro,PT,BA,1,1,1,-1,1,-1,0,1,-1,1,0,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,-1,0,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,0,-1,1,-1,-1,0,1,0,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,0,1,0,0,1,0,-1,1,-1,-1,1,1,-1,-1,1,1,0,1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,-1,1
Nelson Pellegrino,PT,BA,1,0,0,-1,1,-1,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0,1,-1,0,1,1,-1,1,1,-1,0,0,1,1,1,-1,-1,-1,-1,1,1,0,1,1,1,1,-1,-1,-1,1,1,-1,0,-1,1,-1,-1,-1,1,0,0,-1,-1,1,0,1,0,0,0,1,-1,0,-1,1,0,1,1,0,-1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,-1,0,-1,1,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,0,-1,1,-1,0,0,1
