nome,partido,uf,PDC 240/1999,PDC 341/1999,PEC 128/1995,PEC 128/1995,PEC 249/2000,PEC 249/2000,PEC 249/2000,PEC 249/2000,PEC 407/1996,PEC 407/1996,PEC 407/1996,PEC 601/1998,PEC 601/1998,PEC 7/1999,PEC 7/1999,PEC 7/1999,PEC 7/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PL 1428/1999,PL 1615/1999,PL 1617/1999,PL 1617/1999,PL 2549/2000,PL 2549/2000,PL 3156/2000,PL 3310/1997,PL 3310/1997,PL 3756/2000,PL 3756/2000,PL 3756/2000,PL 3837/2000,PL 4155/1998,PL 621/1999,PL 621/1999,PLP 113/2000,PLP 113/2000,PLP 113/2000,PLP 113/2000,PLP 113/2000,PLP 113/2000,PLP 113/2000,PLP 114/2000,PLP 114/2000,PLP 114/2000,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 220/1998,PLP 220/1998,PLP 220/1998,PLP 23/1999,PLP 23/1999,PLP 23/1999,PLP 77/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 90/1999,PRC 72/2000
Nilson Mourão,PT,AC,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,0,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,0,0,0,0,0,0,0,0,1,0,-1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,0,1,-1,1,0,-1,-1,-1,-1,1,1,-1,1,1,0,-1,-1,1,-1,0,0,0,0,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,0
José Thomaz Nonô,PFL,AL,0,0,0,0,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,0,-1,-1,1,1,-1,1,-1,1,-1,1,0,1,-1,0,-1,1,1,-1,-1,1,-1,-1,0,1,0,0,1,-1,1,1,1,0,-1,1,1,-1,1,1,-1,1,-1,-1,-1,0,0,0,0,1,1,1,-1,1,1,0,1,1,1,-1,-1,1,1,1,-1,-1,0,1,-1,-1,-1,1,-1,1,1,1,1,0,1,-1,0,0,1,1,-1,1,1,1,-1,-1,1,0,1,0,0,0,0,0,0,-1,0,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,-1,-1
Silas Câmara,PTB,AM,0,1,0,1,-1,1,-1,1,-1,1,0,1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,0,1,1,-1,1,-1,-1,-1,1,1,0,-1,0,-1,1,-1,1,1,1,-1,1,0,1,1,-1,-1,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,-1,0,0,0,0,0,0,1,1,1,-1,1,1,0,0,0,0,0,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,-1,-1,-1,-1,1,1,1,0,-1,1,1,1,-1,1,1,1,1,1,-1,-1,1,0,-1,1,1,1,1,1,-1,1,1,1,-1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0
Pauderney Avelino,PFL,AM,-1,1,0,0,-1,1,-1,0,-1,0,0,1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,0,-1,0,0,1,-1,0,0,1,-1,1,1,1,-1,0,0,0,1,-1,-1,1,-1,-1,1,-1,0,0,0,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,0,0,1,-1,1,1,1,-1,1,1,1,0,1,0,-1,-1,0,1,1,-1,0,-1,1,-1,0,0,0,0,1,1,1,1,0,1,-1,0,1,0,0,-1,0,1,-1,0,-1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,0,0,1,1,1,1,1,1,-1,1,1,1,0,1,-1
Vanessa Grazziotin,PCdoB,AM,0,1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,0,1,-1,-1,1,0,1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,0,-1,-1,-1,-1,1,-1,0,1,1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,0,-1,0,0,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,0,-1,-1,-1,-1,1,1,-1,1,1,0,-1,-1,1,0,0,0,0,0,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1
Walter Pinheiro,PT,BA,0,1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,0,-1,-1,1,1,0,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,0,0,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,0,-1,1,-1,1,1,0,0,-1,1,1,1,0,1,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,0,1,-1,1,0,-1,-1,-1,-1,1,1,-1,1,1,0,-1,-1,1,-1,0,0,0,0,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,0,1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,1
Nelson Pellegrino,PT,BA,0,0,0,0,1,1,1,1,0,0,0,1,1,1,-1,0,-1,-1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,0,0,1,1,1,-1,1,1,0,1,1,-1,-1,-1,1,1,-1,-1,1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,-1,-1,1,-1,0,1,0,0,-1,1,1,1,0,0,0,-1,1,1,0,0,0,0,0,0,1,1,1,-1,-1,0,0,0,0,0,0,0,-1,1,-1,0,1,-1,1,0,-1,-1,0,0,1,1,-1,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,0,0,0,1,-1,-1,0,1,1,-1,-1,-1,1
Félix Mendonça,PTB,BA,0,0,1,0,-1,1,-1,1,0,0,1,1,1,-1,1,-1,1,1,0,-1,1,1,0,0,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,1,-1,-1,1,0,-1,0,-1,0,0,0,1,1,1,1,-1,0,0,0,-1,1,1,-1,0,-1,0,-1,0,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,0,1,0,-1,-1,1,-1,1,1,1,1,0,1,-1,1,1,0,1,0,0,1,-1,0,-1,0,1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,-1
Geddel Vieira Lima,PMDB,BA,0,1,0,1,-1,1,0,1,-1,0,0,0,1,0,1,0,0,1,-1,0,1,1,0,0,-1,-1,1,1,1,0,1,1,0,0,0,-1,1,-1,-1,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,-1,1,0,1,1,1,0,-1,0,-1,0,0,1,-1,1,1,1,0,0,-1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,1,-1
Pedro Irujo,PFL,BA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
