nome,partido,uf,MPV 7/2001,MPV 7/2001,MSC 527/2001,PDC 381/1999,PEC 203/1995,PEC 222/2000,PEC 222/2000,PEC 222/2000,PEC 222/2000,PEC 222/2000,PEC 222/2000,PEC 222/2000,PEC 277/2000,PEC 277/2000,PEC 289/2000,PEC 308/1996,PEC 308/1996,PEC 308/1996,PEC 472/1997,PEC 472/1997,PEC 472/1997,PEC 472/1997,PEC 610/1998,PEC 610/1998,PEC 610/1998,PEC 610/1998,PL 1733/1996,PL 2155/1999,PL 3115/1997,PL 3242/2000,PL 3267/2000,PL 3524/2000,PL 3639/2000,PL 3657/1989,PL 3755/2000,PL 3998/2001,PL 4143/2001,PL 4177/2001,PL 4177/2001,PL 4210/2001,PL 5470/2001,PL 5470/2001,PL 5483/2001,PL 5483/2001,PL 5483/2001,PL 5483/2001,PL 5483/2001,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 116/2000,PLP 116/2000,PLP 155/2000,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 183/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 23/1999,PLP 242/1998,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PRC 106/1992,PRC 106/1992,PRC 106/1992,PRC 176/2001,REC 113/2000,REC 144/2001,REC 52/1999
Nilson Mourão,PT,AC,0,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,1,-1,1,-1,0,-1,-1,-1,1,-1,0,-1,1,0,-1,-1,1,-1,1,1,-1,0,0
José Thomaz Nonô,PFL,AL,0,-1,0,1,0,1,-1,-1,-1,1,1,1,1,1,1,0,0,1,1,-1,1,0,0,1,-1,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,1,-1,1,-1,1,0,-1,1,1,1,1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,1,-1,-1,0,1,1,1,1,1,0,-1,1,1,1,0,0,0,0,1,-1,0,0,1,1,-1,0,-1,1,-1,1,0,0,0
Silas Câmara,PTB,AM,0,-1,0,1,1,1,-1,-1,-1,1,1,1,0,0,0,0,0,0,1,-1,1,0,1,1,-1,1,0,0,1,1,1,1,1,-1,-1,-1,1,-1,1,0,1,1,0,0,0,1,1,1,1,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,0,-1,1,1,0,0,1,1,-1,1,-1,0,0,0,0,0,0,-1,0,0,0,1,0,0
Pauderney Avelino,PFL,AM,0,-1,1,1,1,1,-1,-1,0,0,0,0,1,1,1,0,-1,1,1,-1,1,1,1,1,-1,0,1,1,1,1,1,1,1,-1,0,-1,1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,-1,1,1,1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,-1,1,-1,0,0,1,1,-1,0,-1,1,-1,1,1,0,0
Vanessa Grazziotin,PCdoB,AM,1,1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,0,1,1,-1,0,1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,1,0,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,-1,1,1,1,0,-1,1,1,1,1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,0,-1,-1,1,-1,1,1,-1,0,0
Mário Negromonte,PPB,BA,0,-1,0,1,1,1,-1,-1,-1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,-1,0,0,0,0
Luiz Alberto,PT,BA,0,1,1,-1,1,1,-1,-1,-1,1,0,1,0,0,1,0,0,1,-1,0,0,1,1,0,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,1,0,1,-1,-1,-1,1,-1,-1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,1,-1,0,0,0,0,0,0,0,-1,1,0,0,-1,0,0,1,1,-1,0,0
Walter Pinheiro,PT,BA,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,-1,1,-1,-1,1,1,1,1,-1,0,1,-1,1,1,-1,1,-1,1,1,1,1,1,0,1,1,0,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,0,-1,-1,-1,1,-1,-1,0,1,0,-1,-1,1,-1,1,1,-1,0,0
Nelson Pellegrino,PT,BA,0,0,1,-1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-1,-1,1,1,0,1,-1,1,1,-1,1,1,0,1,-1,1,1,1,1,1,0,1,1,0,-1,-1,1,-1,-1,0,-1,-1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,-1,0,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,0,1,0,-1,0,0
Félix Mendonça,PTB,BA,0,-1,1,1,1,1,-1,-1,-1,1,0,0,1,1,1,1,-1,0,1,-1,1,1,1,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,-1,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,1,1,1,1,1,1,-1,1,1,1,0,1,1,-1,1,-1,0,0,1,1,-1,0,-1,1,-1,1,1,0,0
