nome,partido,uf,MPV 11/2001,MPV 14/2001,MPV 14/2001,MPV 14/2001,MPV 15/2001,MPV 15/2001,MPV 16/2001,MPV 22/2002,MPV 26/2002,MPV 44/2002,MPV 66/2002,MPV 70/2002,PEC 203/1995,PEC 289/2000,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 559/2002,PEC 559/2002,PEC 559/2002,PL 1037/1999,PL 4203/2001,PL 4203/2001,PL 6770/2002,PL 6770/2002,PLP 1/1991,PLP 275/2001,PLP 347/2002,PLP 347/2002,PLP 349/2002,PLP 349/2002,REC 211/2002,REC 238/2002
Nilson Mourão,PT,AC,1,1,-1,-1,1,0,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1
José Thomaz Nonô,PFL,AL,-1,0,1,1,-1,-1,0,-1,1,0,-1,-1,0,1,1,1,-1,-1,0,0,0,0,0,0,1,-1,1,0,0,0,0,1,1,-1,0,0,1,0,1,1,-1,-1
Silas Câmara,PTB,AM,-1,-1,1,1,0,0,0,-1,1,0,1,-1,1,0,1,1,-1,1,0,1,-1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0
Pauderney Avelino,PFL,AM,-1,-1,1,0,0,0,1,-1,0,1,-1,0,1,0,1,1,-1,1,1,1,0,0,0,0,-1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,-1,0
Vanessa Grazziotin,PCdoB,AM,1,0,0,0,0,0,0,1,-1,-1,1,0,1,1,-1,-1,1,-1,0,-1,1,-1,-1,-1,1,-1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
Mário Negromonte,PPB,BA,-1,-1,1,1,-1,0,0,0,1,0,1,0,1,0,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,-1,-1
Luiz Alberto,PT,BA,1,1,-1,-1,1,0,1,0,0,-1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,1,-1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,0
Walter Pinheiro,PT,BA,1,0,0,0,0,0,-1,0,0,-1,1,1,1,1,1,1,1,-1,1,0,0,-1,-1,-1,1,-1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1
Nelson Pellegrino,PT,BA,1,1,0,0,0,0,0,-1,0,-1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,1,-1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
Félix Mendonça,PTB,BA,-1,-1,1,1,1,-1,1,-1,1,0,1,0,1,0,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1
Jonival Lucas Junior,PMDB,BA,-1,-1,1,1,-1,-1,1,-1,1,1,1,1,0,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,-1,-1
Geddel Vieira Lima,PMDB,BA,-1,-1,0,1,0,0,0,-1,0,0,1,0,1,0,0,1,-1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
