nome,partido,uf,MPV 136/2003,MPV 139/2003,MPV 139/2003,MPV 139/2003,MPV 140/2003,MPV 140/2003,MPV 141/2003,MPV 143/2003,MPV 144/2003,MPV 144/2003,MPV 144/2003,MPV 144/2003,MPV 147/2003,MPV 148/2003,MPV 153/2003,MPV 153/2003,MPV 153/2003,MPV 153/2003,MPV 153/2003,MPV 154/2003,MPV 154/2003,MPV 155/2003,MPV 155/2003,MPV 160/2003,MPV 160/2003,MPV 161/2004,MPV 165/2004,MPV 165/2004,MPV 165/2004,MPV 166/2004,MPV 167/2004,MPV 167/2004,MPV 167/2004,MPV 167/2004,MPV 167/2004,MPV 167/2004,MPV 168/2004,MPV 168/2004,MPV 169/2004,MPV 177/2004,MPV 177/2004,MPV 179/2004,MPV 182/2004,MPV 182/2004,MPV 182/2004,MPV 182/2004,MPV 183/2004,MPV 183/2004,MPV 183/2004,MPV 183/2004,MPV 183/2004,MPV 183/2004,MPV 183/2004,MPV 191/2004,MPV 191/2004,MPV 191/2004,MPV 192/2004,MPV 192/2004,MPV 192/2004,MPV 192/2004,MPV 194/2004,MPV 195/2004,MPV 196/2004,MPV 196/2004,MPV 196/2004,MPV 196/2004,MPV 198/2004,MPV 198/2004,MPV 198/2004,MPV 198/2004,MPV 198/2004,MPV 200/2004,MPV 200/2004,MPV 201/2004,MPV 206/2004,MPV 206/2004,MPV 207/2004,MPV 207/2004,MPV 207/2004,MPV 207/2004,MPV 208/2004,MPV 219/2004,MPV 219/2004,MSC 205/2004,MSC 205/2004,MSC 210/2004,MSC 411/2003,MSC 62/2004,PDC 13/2003,PEC 101/2003,PEC 101/2003,PEC 227/2004,PEC 227/2004,PEC 228/2004,PEC 228/2004,PEC 254/2000,PEC 285/2004,PEC 438/2001,PEC 574/2002,PEC 574/2002,PEC 574/2002,PEC 575/1998,PL 2399/2003,PL 2399/2003,PL 2399/2003,PL 2401/2003,PL 2401/2003,PL 2401/2003,PL 2546/2003,PL 3476/2004,PLP 188/2004,PLP 22/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 76/2003,PLP 76/2003
Zico Bronzeado,PT,AC,-1,-1,1,-1,-1,-1,0,-1,-1,1,-1,1,-1,0,0,1,-1,1,0,0,0,0,0,1,-1,0,-1,1,-1,0,-1,0,1,1,-1,1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1,-1,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,1,1,1,1,-1,1,1,1,0,0,0,0,0,1,-1,0,0,1,-1,-1,1,1,0,0,1,1,1,1,1,0
Nilson Mourão,PT,AC,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,0,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,0,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,-1,0,-1,1,0,0,1,1,1,1,0,1,1,1,1,1
Henrique Afonso,PT,AC,-1,-1,1,-1,0,-1,-1,0,-1,0,-1,1,-1,0,0,1,-1,1,-1,0,0,-1,-1,1,-1,0,-1,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,0,-1,-1,-1,1,1,1,1,1,0,1,1,1,-1,1,1,1,0,0,1,1,0,1,0,0,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1
João Correia,PMDB,AC,-1,0,0,0,-1,0,-1,0,0,0,-1,1,0,0,-1,1,-1,-1,0,0,1,-1,-1,1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,1,1,-1,0,-1,0,1,0,-1,0,0,0,1,0,-1,0,-1,1,0,1,0,0,0,1,0,-1,-1,1,0,1
Júnior Betão,PPS,AC,-1,-1,1,-1,-1,0,0,-1,-1,1,-1,1,-1,0,0,1,-1,1,-1,0,0,-1,-1,1,-1,0,-1,1,-1,-1,-1,-1,1,0,-1,1,-1,1,0,-1,-1,-1,0,0,0,-1,0,0,-1,-1,1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,1,-1,-1,1,0,-1,0,0,1,0,0,0,0,1,1,1,1,-1,1,1,0,0,0,1,1,1,1,0,0,0,1,-1,1,0,1,0,0,0,0,0,0,0,0
Perpétua Almeida,PCdoB,AC,-1,-1,1,0,-1,-1,-1,-1,-1,1,-1,1,-1,-1,0,1,0,0,0,0,0,0,0,1,0,0,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,0,-1,1,0,0,-1,0,1,0,-1,-1,0,0,0,0,1,1,0,1,1,1,-1,1,1,1,0,0,0,0,1,1,-1,0,0,1,-1,-1,0,1,0,0,1,1,0,0,1,0
José Thomaz Nonô,PFL,AL,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,1,1,0,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,0,1,1,0,0,0,1,-1,1,1,0,1,0,0,1
Silas Câmara,PTB,AM,-1,-1,1,0,0,0,-1,-1,-1,1,-1,1,0,0,-1,0,-1,0,-1,0,0,0,-1,1,-1,0,0,1,0,-1,-1,-1,1,1,-1,0,0,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,-1,0,-1,1,0,-1,1,-1,-1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,-1,-1,1,0,1,1,0,0,0,0,1,1
Carlos Souza,PL,AM,-1,0,1,0,1,0,-1,0,0,1,-1,1,0,1,0,0,-1,1,-1,0,0,-1,-1,1,-1,0,0,1,-1,-1,0,0,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,-1,1,1,1,0,0,0,0,0,0,0,0
Pauderney Avelino,PFL,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
