nome,partido,uf,MPV 328/2006,MPV 332/2006,MPV 335/2006,MPV 335/2006,MPV 335/2006,MPV 335/2006,MPV 336/2006,MPV 338/2006,MPV 339/2006,MPV 339/2006,MPV 339/2006,MPV 339/2006,MPV 339/2006,MPV 339/2006,MPV 339/2006,MPV 339/2006,MPV 339/2006,MPV 339/2006,MPV 340/2006,MPV 340/2006,MPV 340/2006,MPV 341/2006,MPV 341/2006,MPV 341/2006,MPV 341/2006,MPV 344/2007,MPV 345/2007,MPV 345/2007,MPV 345/2007,MPV 346/2007,MPV 347/2007,MPV 347/2007,MPV 348/2007,MPV 348/2007,MPV 348/2007,MPV 348/2007,MPV 349/2007,MPV 349/2007,MPV 349/2007,MPV 351/2007,MPV 351/2007,MPV 351/2007,MPV 352/2007,MPV 354/2007,MPV 357/2007,MPV 358/2007,MPV 358/2007,MPV 358/2007,MPV 359/2007,MPV 360/2007,MPV 360/2007,MPV 362/2007,MPV 363/2007,MPV 364/2007,MPV 364/2007,MPV 366/2007,MPV 369/2007,MPV 369/2007,MPV 369/2007,MPV 369/2007,MPV 372/2007,MPV 372/2007,MPV 373/2007,MPV 373/2007,MPV 373/2007,MPV 374/2007,MPV 374/2007,MPV 374/2007,MPV 374/2007,MPV 374/2007,MPV 375/2007,MPV 375/2007,MPV 375/2007,MPV 375/2007,MPV 375/2007,MPV 375/2007,MPV 376/2007,MPV 376/2007,MPV 377/2007,MPV 377/2007,MPV 377/2007,MPV 378/2007,MPV 378/2007,MPV 378/2007,MPV 378/2007,MPV 378/2007,MPV 378/2007,MPV 378/2007,MPV 378/2007,MPV 379/2007,MPV 379/2007,MPV 379/2007,MPV 379/2007,MPV 381/2007,MPV 381/2007,MPV 381/2007,MPV 381/2007,MPV 381/2007,MPV 381/2007,MPV 381/2007,MPV 383/2007,MPV 383/2007,MPV 383/2007,MPV 383/2007,MPV 383/2007,MPV 383/2007,MPV 384/2007,MPV 384/2007,MPV 384/2007,MPV 384/2007,MPV 384/2007,MPV 384/2007,MPV 384/2007,MPV 386/2007,MPV 387/2007,MPV 387/2007,MPV 387/2007,MPV 387/2007,MPV 388/2007,MPV 390/2007,MPV 390/2007,MPV 390/2007,MPV 391/2007,MPV 392/2007,MPV 394/2007,MPV 394/2007,PDC 35/2007,PDC 36/2007,PEC 272/2000,PEC 272/2000,PEC 285/2004,PEC 285/2004,PEC 285/2004,PEC 285/2004,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 558/2006,PEC 58/2007,PEC 58/2007,PEC 58/2007,PEC 58/2007,PL 1210/2007,PL 1210/2007,PL 1210/2007,PL 1210/2007,PL 1210/2007,PL 1210/2007,PL 1210/2007,PL 1990/2007,PL 1990/2007,PL 1990/2007,PL 2086/2007,PL 2105/2007,PL 4125/2004,PL 4125/2004,PL 4125/2004,PL 4125/2004,PL 4125/2004,PL 696/2007,PL 7225/2006,PL 7569/2006,PL 7569/2006,PL 7701/2006,PL 7701/2006,PL 84/2007,PL 84/2007,PLP 1/2003,PLP 1/2003,PLP 1/2003,PLP 1/2003,PLP 1/2003,PLP 1/2003,PLP 1/2003,PLP 1/2003,PLP 1/2003,PLP 35/2007,PLP 35/2007,PLP 35/2007,PLP 35/2007,PLP 35/2007,PLP 35/2007,PLP 35/2007,PLP 79/2007,PLP 79/2007,REC 14/2007,REC 14/2007,REC 42/2007
Nilson Mourão,PT,AC,-1,1,1,0,-1,1,0,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,-1,1,-1,-1,-1,1,1,0,0,0,-1,1,1,1,1,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,1,-1,0,-1,-1,-1,-1,1,0,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,0,0,0,0,-1,0,1,0,1,1,-1,1,0,-1,1,1,1,-1,1,0,1,1,1,0,0,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,0,0,1,1,-1,0,0,0,0,0,0,0,0,1,-1,-1,1,-1,1,1,-1,1,-1,1,-1
Henrique Afonso,PT,AC,-1,1,1,0,-1,1,1,1,0,-1,0,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,0,-1,-1,-1,0,1,1,1,0,0,0,1,0,-1,1,-1,-1,1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,1,0,-1,1,1,1,-1,0,-1,-1,-1,0,0,0,-1,-1,1,-1,0,0,1,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-1,1,0,-1,0,1,1,-1,0,-1,-1,1,1,0,0,1,1,-1,-1,-1,1,-1,1,-1,0,-1,-1,0,-1,-1,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,0,-1,1,-1,-1,0,0,1,1,-1,-1,1,1,1,0,0,0,0,1,0,-1,1,-1,1,1,-1,0,-1,1,-1
Perpétua Almeida,PCdoB,AC,-1,1,1,0,-1,1,1,1,0,-1,-1,-1,-1,1,-1,-1,0,1,1,0,0,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,-1,1,0,-1,-1,0,1,1,1,1,-1,1,1,1,1,1,1,1,0,0,1,-1,0,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,0,-1,1,0,-1,1,1,1,-1,1,-1,-1,0,-1,-1,0,0,0,0,0,-1,-1,1,1,1,-1,1,-1,-1,-1,1,-1,0,1,-1,-1,-1,0,-1,0,1,0,1,0,-1,1,0,-1,1,0,1,-1,1,1,0,1,0,0,0,1,1,-1,0,-1,1,0,1,-1,0,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,0,1,1,-1,1,1,1,1,1,1,1,1,0,0,1,-1,1,1,1,-1,0,0,0,0,0,1,-1,-1,1,0,1,-1,1,-1,-1,1,0,0,0,-1,-1,0,0,0,-1,1,-1,-1,1,0,0,0,0,0,0,1,1,-1,1,-1
Silas Câmara,PTB,AM,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanessa Grazziotin,PCdoB,AM,-1,1,1,0,-1,1,1,1,0,0,-1,-1,-1,1,-1,-1,1,1,1,0,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,0,0,0,1,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,0,-1,1,0,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,1,0,-1,-1,1,1,1,-1,1,-1,-1,0,1,-1,1,-1,-1,-1,-1,0,-1,0,0,0,1,1,-1,1,0,-1,1,1,1,-1,1,1,1,1,1,0,0,1,1,0,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,0,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,1,-1,1,0,0,0,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,0,1,-1,0,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,1,1,-1,1,-1
Severiano Alves,PDT,BA,-1,1,1,0,0,0,1,1,1,-1,-1,-1,-1,1,-1,-1,0,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,0,1,-1,0,0,-1,-1,-1,0,1,-1,1,-1,-1,0,1,1,-1,1,-1,0,1,1,1,0,0,0,1,0,0,1,-1,0,0,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,-1,1,1,1,0,0,-1,0,0,0,-1,1,0,0,0,-1,0,0,1,0,0,0,0,-1,0,-1,1,-1,0,-1,-1,-1,-1,0,-1,-1,1,0,1,0,-1,0,0,0,1,1,1,-1,0,1,1,1,1,0,0,1,0,-1,-1,-1,1,0,1,-1,-1,0,0,-1,0,-1,1,1,1,1,1,-1,1,-1,0,1,1,-1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,-1,-1,0,-1,0,0,-1,1,-1,-1,-1,-1,1,-1,0,-1,-1,0,0,1,0,-1,-1,1,1,1,-1,-1,-1,-1,0,0,-1,1,-1,1,1,-1,0,-1,1,-1
Walter Pinheiro,PT,BA,-1,1,1,0,0,1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,0,0,-1,1,1,1,1,1,1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,0,0,-1,1,1,1,-1,0,-1,-1,-1,1,-1,1,0,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,1,0,-1,1,1,1,0,1,1,1,1,1,0,0,1,1,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,0,1,-1,1,-1,-1,0,0,1,1,0,-1,1,1,1,-1,-1,0,0,1,-1,-1,1,-1,0,1,-1,1,0,0,-1
Zezéu Ribeiro,PT,BA,-1,1,1,0,-1,1,0,1,0,-1,-1,-1,-1,1,0,-1,1,-1,0,0,0,-1,-1,-1,-1,1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,1,-1,1,-1,-1,-1,1,0,-1,-1,-1,0,1,1,1,0,0,0,1,0,-1,1,-1,-1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,1,0,-1,1,1,1,-1,1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,0,1,1,0,0,0,-1,0,0,1,-1,1,0,-1,-1,-1,0,-1,-1,1,0,1,1,-1,1,0,0,0,0,0,-1,1,1,1,1,1,0,0,1,1,-1,-1,-1,1,0,1,0,-1,-1,-1,0,-1,-1,1,1,1,1,1,-1,1,-1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,-1,0,0,-1,1,-1,-1,1,-1,1,-1,0,-1,-1,0,0,1,1,-1,-1,1,1,1,-1,0,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,-1
Luiz Bassuma,PT,BA,0,0,1,0,-1,0,1,1,1,0,0,-1,0,1,0,-1,1,-1,0,-1,0,0,0,-1,-1,1,0,-1,0,1,-1,0,-1,-1,0,0,0,1,-1,0,0,-1,-1,1,1,0,0,0,-1,1,1,0,1,1,1,0,0,-1,1,-1,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,1,0,0,1,0,1,-1,0,0,-1,-1,0,-1,1,-1,-1,0,-1,-1,0,1,1,1,-1,1,-1,0,-1,1,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,1,1,1,0,1,0,0,0,0,-1,0,-1,1,-1,1,-1,-1,-1,0,0,0,-1,1,1,0,1,1,-1,1,0,-1,1,0,-1,1,1,1,1,1,1,1,1,0,1,1,-1,0,1,1,0,0,-1,-1,-1,-1,1,-1,0,1,0,0,0,0,-1,-1,0,1,0,0,-1,-1,1,0,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,0,0,1,-1
Nelson Pellegrino,PT,BA,-1,1,1,0,-1,0,1,1,1,0,0,-1,-1,1,-1,-1,1,-1,1,0,0,-1,-1,-1,0,1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,1,-1,1,-1,-1,0,0,1,-1,-1,-1,0,1,1,1,0,0,0,0,0,-1,1,0,-1,-1,-1,0,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,1,-1,0,-1,-1,-1,1,-1,1,-1,-1,-1,-1,0,-1,-1,1,-1,1,0,-1,1,0,-1,1,1,1,0,0,1,1,1,1,0,0,1,1,-1,0,-1,1,-1,1,-1,-1,0,0,-1,-1,-1,1,1,1,1,1,0,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,1,-1,1,-1,0,-1,-1,1,-1,-1,1,-1,1,-1,1,0,0,0,0,0,0,-1,-1,1,1,1,-1,-1,0,0,1,-1,-1,1,-1,1,0,-1,1,-1,1,0
