nome,partido,uf,MPV 447/2008,MPV 447/2008,MPV 447/2008,MPV 447/2008,MPV 449/2008,MPV 449/2008,MPV 449/2008,MPV 450/2008,MPV 450/2008,MPV 451/2008,MPV 451/2008,MPV 451/2008,MPV 451/2008,MPV 451/2008,MPV 451/2008,MPV 452/2008,MPV 452/2008,MPV 453/2009,MPV 454/2009,MPV 454/2009,MPV 454/2009,MPV 455/2009,MPV 457/2009,MPV 457/2009,MPV 457/2009,MPV 457/2009,MPV 457/2009,MPV 457/2009,MPV 458/2009,MPV 458/2009,MPV 458/2009,MPV 458/2009,MPV 458/2009,MPV 459/2009,MPV 460/2009,MPV 460/2009,MPV 460/2009,MPV 460/2009,MPV 460/2009,MPV 460/2009,MPV 460/2009,MPV 460/2009,MPV 462/2009,MPV 462/2009,MPV 462/2009,MPV 462/2009,MPV 464/2009,MPV 465/2009,MPV 465/2009,MPV 465/2009,MPV 465/2009,MPV 465/2009,MPV 465/2009,MPV 466/2009,MPV 466/2009,MPV 466/2009,MPV 466/2009,MPV 466/2009,MPV 466/2009,MPV 466/2009,MPV 468/2009,MPV 469/2009,MPV 469/2009,MPV 469/2009,MPV 469/2009,MPV 469/2009,MPV 470/2009,MPV 470/2009,MPV 470/2009,MPV 470/2009,MPV 470/2009,MPV 470/2009,MPV 470/2009,MSC 134/2009,PDC 981/2008,PDC 981/2008,PEC 130/2007,PEC 22/1999,PEC 277/2008,PEC 277/2008,PEC 277/2008,PEC 277/2008,PEC 324/2009,PEC 324/2009,PEC 324/2009,PEC 336/2009,PEC 336/2009,PEC 351/2009,PEC 351/2009,PEC 391/2009,PEC 391/2009,PEC 413/2005,PEC 413/2005,PEC 47/2003,PEC 483/2005,PEC 483/2005,PL 1664/2007,PL 18/2007,PL 1825/2007,PL 2502/2007,PL 2502/2007,PL 2502/2007,PL 2502/2007,PL 2502/2007,PL 2502/2007,PL 2502/2007,PL 2502/2007,PL 2502/2007,PL 2502/2007,PL 2660/1996,PL 2660/1996,PL 3021/2008,PL 451/1995,PL 5245/2009,PL 5245/2009,PL 5279/2009,PL 5312/2009,PL 5334/2009,PL 5498/2009,PL 5498/2009,PL 5498/2009,PL 5498/2009,PL 5498/2009,PL 5498/2009,PL 5498/2009,PL 5498/2009,PL 5498/2009,PL 5664/2009,PL 5798/2009,PL 5800/2005,PL 5829/2005,PL 5939/2009,PL 5939/2009,PL 5939/2009,PL 5939/2009,PL 5939/2009,PL 5940/2009,PL 5941/2009,PL 7703/2006,PL 7703/2006,PL 836/2003,PL 836/2003,PL 836/2003,PLP 12/2003,PLP 12/2003,PLP 217/2004,PLP 217/2004,PLP 28/2007,PLP 28/2007,PLP 28/2007,PLP 28/2007,PLP 462/2009,PLP 59/1999,REQ 5921/2009
Nilson Mourão,PT,AC,-1,0,-1,-1,-1,-1,0,-1,1,-1,1,0,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,1,-1,-1,0,1,1,0,1,1,1,1,1,-1,0,1,1,1,0,1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,0,0,1,-1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,-1,1,-1,1,1,0
Henrique Afonso,PT,AC,-1,0,-1,-1,0,0,-1,-1,1,-1,1,0,-1,1,1,0,1,0,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,0,1,1,0,0,0,1,0,0,0,0,0,-1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,1,1,-1,-1,1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,-1,1,-1,0,1,0
Perpétua Almeida,PCdoB,AC,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,1,1,-1,0,-1,0,-1,-1,1,-1,0,1,1,-1,1,1,-1,1,0,-1,1,-1,1,0,1,1,-1,-1,0,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,1,0,-1,1,0,1,0,1,0,0,1,1,1,1,-1,-1,1,0,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,-1,0,0,1,1,1,-1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,-1,1,-1,1,0,0
Vanessa Grazziotin,PCdoB,AM,-1,0,-1,1,0,-1,0,-1,-1,-1,1,-1,1,1,1,1,1,-1,-1,-1,0,-1,-1,1,-1,1,0,1,-1,1,1,-1,1,-1,-1,1,0,1,0,1,1,-1,-1,1,1,1,1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,0,-1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,1,1,-1,1,-1,-1,-1,1,-1,-1,0,1,-1,1,1,1,1,1,0,1,1,1,1,1,-1,1,-1,1,-1,1,0,1,1,1,-1,0,0,0,1,1,1,-1,1,-1,1,0,0,1,1,1,0,1,-1,1,1,0
Severiano Alves,PDT,BA,-1,1,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,0,1,1,-1,-1,0,0,-1,-1,0,0,0,0,1,0,1,1,-1,1,-1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,-1,0,0,0,0,0
Luiz Alberto,PT,BA,-1,-1,-1,-1,-1,-1,-1,0,1,-1,1,-1,-1,1,1,1,1,-1,0,-1,-1,0,-1,1,-1,1,0,0,-1,1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,0,-1,-1,-1,-1,1,-1,1,0,0,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,-1,0,1,0,1,0,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,0,1,-1,1,1,1,1,1,0,1,0,-1,1,0,0,0,-1,1,-1,0,0,1,0,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0
Walter Pinheiro,PT,BA,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zezéu Ribeiro,PT,BA,-1,-1,-1,-1,0,-1,-1,-1,1,-1,1,-1,0,1,1,0,1,-1,0,0,-1,0,-1,1,-1,1,0,1,0,1,1,0,1,-1,-1,1,-1,1,0,-1,-1,-1,0,-1,-1,1,0,0,0,1,0,-1,1,-1,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,1,0,-1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,0,1,0,1,1,1,0,1,1,1,-1,-1,0,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,-1,1,-1,0,0,0
Luiz Bassuma,PT,BA,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,1,1,1,1,0,-1,-1,-1,0,-1,1,-1,0,1,0,-1,1,0,0,1,-1,0,1,-1,0,0,0,0,0,0,0,-1,1,-1,0,0,1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,1,1,-1,-1,1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,-1,1,-1,1,0,0
Nelson Pellegrino,PT,BA,-1,-1,-1,1,-1,-1,0,-1,1,-1,1,-1,-1,1,1,1,1,0,0,0,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jutahy Junior,PSDB,BA,0,-1,1,-1,0,0,0,1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0,-1,1,-1,0,-1,-1,-1,-1,-1,1,0,1,0,0,0,0,-1,-1,1,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,0,0,1,1,1,-1,1,0,0,-1,1,1,1,1,1,1,1,1,1,0,1,-1,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,0,0,0,0,1,-1,0,0,-1,0,1,-1,-1,-1,-1,1,1,0,1,1,1,0,1,1,1,-1,1,1,1,1,-1
João Almeida,PSDB,BA,1,-1,1,-1,1,1,0,1,-1,1,-1,1,1,-1,0,-1,-1,1,-1,0,-1,1,1,-1,0,0,0,0,0,-1,0,-1,-1,0,0,-1,1,0,0,-1,-1,1,-1,-1,1,-1,1,0,0,0,0,1,-1,1,1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,1,0,0,-1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,0,-1,-1,0,-1,-1,-1,-1,1,1,-1,1,1,1,1,1,1,0,-1,0,1,1,1,0
Alice Portugal,PCdoB,BA,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,0,0,1,1,-1,-1,-1,0,-1,-1,1,-1,1,1,0,-1,1,1,-1,1,0,0,1,0,1,0,1,1,-1,-1,-1,1,1,1,-1,-1,1,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,-1,0,-1,-1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,-1,0,1,1,1,0,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,0,0,1,1,1,1,1,1,1,1,1,1,0,-1,1,-1,1,-1,1,0,1,1,1,0,0,1,1,1,1,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,0,0,0
Aníbal Gomes,PMDB,CE,0,0,1,0,-1,0,0,0,1,0,0,0,-1,1,1,1,1,-1,-1,-1,0,-1,-1,0,0,0,0,0,-1,1,0,0,0,1,0,1,0,0,0,-1,-1,0,0,0,1,0,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,1,0,0,1,-1,0,-1,-1,-1,0,-1,0,0,0,-1,-1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,-1,0,0,0,-1,1,-1,0,0,0,0,1,0,1,0,1,0,1,0,-1,-1,1,-1,0,0,0,0,1,-1,0,0,0,-1,-1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0
Zé Gerardo,PMDB,CE,0,0,1,1,0,-1,0,0,1,0,1,-1,-1,1,1,0,0,-1,0,-1,-1,-1,-1,1,0,0,0,1,-1,1,1,-1,1,1,-1,1,0,1,0,0,0,0,1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,0,1,0,-1,-1,-1,-1,0,1,-1,0,-1,1,-1,-1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,0,1,1,-1,1,-1,0,0,1,-1,-1,0,0,-1,1,-1,1,1,0,1,1,0,-1,-1,-1,-1,-1,1,-1,0,1,-1,0,1,1,-1,-1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,-1,1,1,0
