nome,partido,uf,MPV 472/2009,MPV 472/2009,MPV 472/2009,MPV 472/2009,MPV 475/2009,MPV 475/2009,MPV 475/2009,MPV 476/2009,MPV 476/2009,MPV 477/2009,MPV 477/2009,MPV 477/2009,MPV 477/2009,MPV 482/2010,MPV 483/2010,MPV 483/2010,MPV 483/2010,MPV 483/2010,MPV 483/2010,MPV 487/2010,MPV 487/2010,MPV 487/2010,MPV 493/2010,MPV 493/2010,MPV 495/2010,MPV 501/2010,PDC 2600/2010,PEC 300/2008,PEC 300/2008,PEC 446/2009,PEC 47/2003,PEC 507/2010,PEC 507/2010,PL 1481/2007,PL 1481/2007,PL 1481/2007,PL 2502/2007,PL 2502/2007,PL 2944/2004,PL 5186/2005,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5940/2009,PL 5941/2009,PL 5941/2009,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 277/2005,PLP 352/2002,PLP 352/2002,PLP 374/2008,PLP 374/2008,PLP 543/2009,PLP 543/2009,PLP 543/2009,PLV 16/2010,REQ 5670/2009,REQ 6467/2010,REQ 6468/2010,REQ 6752/2010,REQ 6918/2010,REQ 7166/2010,REQ 7447/2010,REQ 7513/2010,REQ 7535/2010,REQ 7546/2010,REQ 7575/2010
Nilson Mourão,PT,AC,-1,-1,-1,1,1,-1,-1,0,1,1,1,0,0,0,0,-1,-1,-1,1,-1,-1,1,0,1,1,-1,-1,0,1,1,1,0,0,0,0,-1,-1,1,0,-1,-1,1,1,-1,0,0,1,1,1,-1,-1,-1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,-1,0,0,-1,0,1,1,0,0,0,0
Perpétua Almeida,PCdoB,AC,-1,-1,-1,0,-1,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,0,0,-1,-1,-1,1,1,0,1,-1,0,-1,0,-1,-1,0,0,0,0,0,1,0,1,1,1,1,1,0,-1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,-1,-1,0
Vanessa Grazziotin,PCdoB,AM,-1,0,0,0,1,-1,1,0,0,0,1,1,1,0,-1,-1,-1,-1,0,-1,-1,1,-1,0,1,-1,0,1,1,1,1,1,1,1,-1,0,-1,1,-1,-1,-1,1,1,-1,0,-1,1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,0,-1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,-1,0,0
Luiz Alberto,PT,BA,-1,0,0,0,1,0,0,0,-1,0,1,1,1,-1,0,-1,-1,-1,1,0,-1,1,0,1,1,-1,-1,1,1,1,1,1,1,1,-1,0,-1,1,-1,-1,-1,1,1,-1,0,1,1,1,1,-1,-1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,-1,-1,1,0,1,1,1,1,1
Walter Pinheiro,PT,BA,0,0,0,0,0,-1,-1,0,0,1,1,0,0,-1,0,0,-1,-1,1,-1,-1,1,-1,0,1,0,0,0,0,1,0,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,0,0,0,0,0,1,1,1,-1,1,0,0,0,0,0,1,0,1,1,-1,0,0,0,1,0,1,1
Zezéu Ribeiro,PT,BA,-1,-1,-1,1,1,-1,-1,0,1,0,1,0,1,-1,0,0,-1,0,1,-1,-1,1,-1,1,1,-1,-1,0,0,1,1,1,1,0,0,-1,-1,1,-1,-1,-1,0,1,-1,0,0,1,0,1,0,0,-1,1,1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,0,1,-1,-1,1,0,-1,1,1,1,0,1,1,1
Nelson Pellegrino,PT,BA,0,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,-1,1,0,0,0,0,0,1,-1,-1,0,0,1,0,1,1,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,-1,1,-1,0,0,0,1,1,1,1
Geddel Vieira Lima,PMDB,BA,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,-1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0
Jutahy Junior,PSDB,BA,0,0,0,0,-1,-1,-1,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,-1,1,0,1,1,0,0,1,0,-1,1,-1,-1,1,0,-1,1,-1,1,0,1,1,1,1,1,-1,1,0,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,-1,-1,0
João Almeida,PSDB,BA,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,1,1,1,1,-1,0,0,-1,1,-1,1,1,-1,1,0,0,0,1,-1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,0,0,-1,-1,0,0,1,1,1,1,1,0
