nome,partido,uf,MPV 549/2011,MPV 550/2011,MPV 551/2011,MPV 551/2011,MPV 554/2011,MPV 558/2012,MPV 559/2012,MPV 559/2012,MPV 559/2012,MPV 559/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 566/2012,MPV 566/2012,MPV 566/2012,MPV 567/2012,MPV 567/2012,MPV 567/2012,MPV 570/2012,MPV 571/2012,MPV 571/2012,MPV 571/2012,MPV 574/2012,MPV 574/2012,MPV 574/2012,MPV 575/2012,MPV 576/2012,MPV 579/2012,MPV 579/2012,MPV 579/2012,MPV 579/2012,PDC 514/2011,PEC 153/2003,PEC 153/2003,PEC 270/2008,PEC 416/2005,PEC 416/2005,PEC 438/2001,PEC 445/2009,PEC 471/2005,PEC 478/2010,PEC 478/2010,PL 1876/1999,PL 1876/1999,PL 1992/2007,PL 1992/2007,PL 1992/2007,PL 1992/2007,PL 2330/2011,PL 2330/2011,PL 2330/2011,PL 2565/2011,PL 2565/2011,PL 2565/2011,PL 2793/2011,PL 301/2007,PL 3839/2012,PL 5279/2009,PL 5403/2001,PL 643/2011,PL 865/2011,PLP 114/2011,PLP 230/2004,PLP 362/2006,PLP 579/2010,REQ 1134/2011,REQ 2130/2011,REQ 4504/2012,REQ 4636/2012,REQ 4636/2012,REQ 6062/2012,REQ 6135/2012,REQ 6460/2012,REQ 6461/2012,PEC 471/2005
Perpétua Almeida,PCdoB,AC,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,-1,-1,0,0,1,0,0,-1,1,-1,0,0,0,1,1,0,0,1,1,1,-1,1,1,0,1,1,-1,-1,-1,0,-1,-1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,-1
Luiz Alberto,PT,BA,-1,-1,0,0,-1,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,1,0,1,1,0,1,-1,1,1,1,1,1,-1,0,0,-1,-1,-1,-1,-1,0,-1,1,0,-1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,-1
Zezéu Ribeiro,PT,BA,-1,0,-1,-1,-1,0,0,-1,-1,1,0,0,0,0,0,-1,1,0,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,1,0,-1,-1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,0,-1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Nelson Pellegrino,PT,BA,-1,-1,-1,-1,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,-1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1,1,1,0,1
Jutahy Junior,PSDB,BA,-1,1,-1,1,1,-1,0,0,-1,-1,0,0,0,0,0,0,1,0,0,1,0,0,1,-1,0,0,0,-1,0,1,-1,0,1,1,0,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,0,1,1,-1,1,-1,0,0,1,0,0,-1,-1,1,1,1,1,-1,1,1,1,-1,-1,1,1,1,-1
Alice Portugal,PCdoB,BA,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,-1
Aníbal Gomes,PMDB,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,-1,1,0,0,0,-1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-1,1,1,0,0,1,1
Carlos Manato,PDT,ES,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,1,-1,1,-1,1,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,0,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1
Iriny Lopes,PT,ES,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,-1,1,-1,-1,-1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,-1,0,-1,-1,-1,0,-1,-1,0,-1,1,1,-1,-1,1,1,1,1,0,0,1,1,0,0,0,-1,1,1,1,0
Leandro Vilela,PMDB,GO,0,0,0,0,-1,0,-1,-1,0,1,-1,0,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,0,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,0,1,1,1,1,0,0,0,0,1,0,1,-1,-1,1,0,-1,-1,0,-1,-1,-1,1,0,-1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,-1,1,0,0,1
Carlos Alberto Leréia,PSDB,GO,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,-1,-1,-1,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
João Campos,PSDB,GO,-1,1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,-1,0,1,0,1,0,0,0,0,-1,1,1,1,1,1,1,0,1,1,1,-1,-1,0,0,-1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,-1,1,1,1,1
Sarney Filho,PV,MA,-1,0,0,0,1,-1,-1,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,1,0,0,-1,1,1,0,0,-1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,-1,-1,0,1,1,1,-1,0,1,-1,0,0,0,1,0,0,1,0,-1,0,0,1,-1,0,0,0,0
Ribamar Alves,PSB,MA,0,0,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,-1,0,0,0,0,0,1,1,0,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Odair Cunha,PT,MG,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,-1,0,0,-1,-1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,-1,-1,0,0,0,0,0,1,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Reginaldo Lopes,PT,MG,0,0,0,0,0,0,-1,-1,-1,1,-1,0,-1,-1,0,0,0,0,0,0,0,-1,-1,1,-1,0,0,0,0,-1,1,0,0,-1,-1,0,-1,1,0,1,1,1,1,1,-1,0,1,1,1,1,0,-1,0,-1,-1,-1,-1,-1,0,-1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,-1
Gilmar Machado,PT,MG,0,-1,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,0,1,-1,1,-1,0,0,-1,1,0,1,1,1,1,1,-1,1,1,0,1,0,0,0,0,-1,0,0,-1,-1,1,-1,1,1,-1,-1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,-1
Leonardo Monteiro,PT,MG,0,0,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,0,0,-1,1,-1,-1,0,-1,0,0,1,0,-1,0,1,1,-1,1,-1,0,0,-1,0,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,-1,-1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1
Saraiva Felipe,PMDB,MG,-1,-1,1,-1,-1,1,0,-1,-1,1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,1,0,-1,0,0,0,-1,1,1,1,1,1,1,1,0,1,0,1,-1,-1,1,0,-1,-1,0,-1,-1,-1,1,1,0,1,1,-1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1
