nome,partido,uf,MPV 627/2013,MPV 627/2013,MPV 627/2013,MPV 627/2013,MPV 627/2013,MPV 628/2013,MPV 628/2013,MPV 628/2013,MPV 630/2013,MPV 630/2013,MPV 632/2013,MPV 633/2013,MPV 633/2013,MPV 635/2013,MPV 639/2014,MPV 640/2014,MPV 650/2014,MPV 652/2014,MPV 656/2014,MPV 657/2014,PDC 1491/2014,PDC 1491/2014,PDC 1491/2014,PEC 103/2011,PEC 103/2011,PEC 111/2011,PEC 197/2012,PEC 197/2012,PEC 197/2012,PEC 247/2013,PEC 247/2013,PEC 290/2013,PEC 290/2013,PEC 293/2013,PEC 293/2013,PEC 358/2013,PEC 358/2013,PEC 358/2013,PEC 426/2014,PEC 426/2014,PEC 434/2014,PEC 434/2014,PEC 471/2005,PL 3232/1992,PL 4246/2012,PL 6025/2005,PL 6025/2005,PL 6738/2013,PL 6809/2013,PL 7735/2014,PL 8035/2010,PLN 31/2014,PLN 31/2014,PLN 36/2013,PLN 36/2014,PLN 36/2014,PLN 36/2014,PLN 36/2014,PLN 36/2014,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 275/2001,PLP 276/2002,PLP 362/2006,PLP 362/2006,PLP 362/2006,PLP 397/2014,PLP 397/2014,PRC 132/2012,REP 17/2012,REP 22/2013,REP 25/2014,REQ 10361/2014,REQ 10929/2014,REQ 8130/2013,REQ 8339/2013,REQ 8880/2013,REQ 9459/2014,REQ 9534/2014,REQ 9534/2014,REQ 9534/2014,REQ 9556/2014,PEC 471/2005
Perpétua Almeida,PCdoB,AC,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,0,-1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,-1,1,1,0,0,1,0,-1,-1,1,-1,1,0,0,0,1,0,-1,0,-1,1,0,-1,1,0,-1,-1,0,0,0,0,0,0,1,0,1,-1,-1,0,0,0,1,1,0,-1,1,0,0,1,0,0,0,0,1,0
Luiz Alberto,PT,BA,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,-1,1,-1,-1,1,-1,-1,0,1,0,0,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,1,1,0,-1,0,-1,1,0,-1,1,1,-1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,0,1,1,0,-1,1,1,1,1,1,0,0,0,0,-1
Zezéu Ribeiro,PT,BA,0,1,-1,0,-1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1
Nelson Pellegrino,PT,BA,-1,1,0,-1,0,-1,-1,0,-1,1,1,-1,1,0,-1,1,-1,-1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,-1,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,0,0,0,-1,1,1,1,-1,1,1,0,-1,-1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0
Jutahy Junior,PSDB,BA,1,1,0,1,-1,0,0,0,1,0,-1,1,1,1,-1,-1,1,0,0,0,-1,-1,-1,1,1,1,0,0,0,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,0,1,-1,-1,1,0,0,1,0,0,0,0,0,-1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,-1,1,1,1,0,1,1,1,1,0,0,1,1,1,-1,-1,1,1,1
Alice Portugal,PCdoB,BA,0,0,1,0,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,0,-1,-1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,0,-1,1,1,0,-1,1,0,-1,0,-1,1,0,-1,1,1,-1,-1,1,-1,0,0,0,-1,1,1,1,-1,-1,0,0,0,1,1,1,-1,1,0,-1,1,1,1,0,0,1,-1
Aníbal Gomes,PMDB,CE,0,1,0,1,1,0,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,-1,-1,1,0,0,1,0,0,1,0,0,-1,0,-1,0,0,-1,1,1,0,0,1,0,0,0,0,0,0,0,1,-1,-1,1,-1,0,1,0,1,0,0,-1,1,0,1,-1,-1,1,0,-1
Iriny Lopes,PT,ES,-1,-1,0,-1,0,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,-1,0,-1,0,-1,1,0,0,1,1,0,-1,0,-1,1,0,-1,0,1,1,1,1,-1,1,1,1,-1,0,0,0,0,0,1,-1,0,-1,1,1,-1,1,0,0,0,1,1,0,0,1,-1
Leandro Vilela,PMDB,GO,0,0,1,1,1,0,-1,-1,0,1,0,-1,0,1,-1,1,0,-1,1,-1,0,-1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,-1,1,-1,1,1,0,0,0,1,0,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,1,1,1,1,0,1,-1,-1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Carlos Alberto Leréia,PSDB,GO,0,0,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,1,0,0
João Campos,PSDB,GO,1,0,1,1,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,-1,0,-1,-1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,-1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1
Gastão Vieira,PMDB,MA,-1,1,1,1,1,-1,-1,0,-1,1,1,-1,1,1,-1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,-1,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,-1,1,1,-1,-1,1,-1,1,1,1,1,1,0,1,-1,-1,1,-1,0,0,0,0,1,1,-1,1,0,0,0,0,0,0,1
Pedro Fernandes,PTB,MA,0,0,0,0,0,0,-1,-1,-1,1,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,-1,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,-1,1,1,1,1,1,0,0,0,-1,1,-1,0,0,0,1,-1,0,-1,1,1,0,0,0,0,0,-1
Sarney Filho,PV,MA,-1,0,0,-1,0,0,-1,0,1,0,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,-1,-1,0,1,1,0,0,1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,-1,1,0,0,0,1,1,0,0,1,0
