nome,partido,uf,MPV 660/2014,MPV 660/2014,MPV 661/2014,MPV 661/2014,MPV 661/2014,MPV 663/2014,MPV 663/2014,MPV 663/2014,MPV 664/2014,MPV 664/2014,MPV 664/2014,MPV 664/2014,MPV 664/2014,MPV 664/2014,MPV 665/2014,MPV 665/2014,MPV 665/2014,MPV 665/2014,MPV 665/2014,MPV 665/2014,MPV 665/2014,MPV 665/2014,MPV 665/2014,MPV 665/2014,MPV 665/2014,MPV 665/2014,MPV 665/2014,MPV 665/2014,MPV 665/2014,MPV 665/2014,PDC 1287/2013,PDC 1410/2013,PEC 197/2012,PEC 352/2013,PEC 358/2013,PEC 358/2013,PEC 457/2005,PEC 457/2005,PEC 457/2005,PEC 457/2005,PEC 457/2005,PEC 457/2005,PEC 590/2006,PEC 590/2006,PL 2211/2007,PL 2505/2000,PL 3131/2008,PL 3481/2012,PL 3481/2012,PL 3771/2012,PL 4148/2008,PL 4148/2008,PL 4246/2012,PL 4330/2004,PL 4330/2004,PL 4330/2004,PL 4330/2004,PL 4330/2004,PL 7469/2014,PL 7469/2014,PL 7699/2006,PL 7735/2014,PL 7735/2014,PL 7735/2014,PL 789/2007,PL 7924/2014,PL 846/2015,PLP 13/2015,PLP 177/2012,PLP 302/2013,PLP 302/2013,PLP 302/2013,PLP 302/2013,PLP 302/2013,PLP 302/2013,PLP 302/2013,PLP 302/2013,PLP 37/2015,PRC 11/2015,REQ 1030/2015,REQ 1108/2015,REQ 1117/2015,REQ 1118/2015,REQ 1121/2015,REQ 1125/2015,REQ 1129/2015,REQ 7492/2013,REQ 784/2015,REQ 796/2015,REQ 8530/2013,REQ 894/2015,REQ 9909/2014,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,MPV 664/2014,MPV 664/2014,MPV 664/2014,MPV 664/2014,MPV 664/2014,MPV 668/2015,MPV 668/2015,MPV 668/2015,MPV 668/2015,MPV 668/2015,MPV 668/2015,MPV 668/2015,MPV 668/2015,MPV 668/2015,MPV 668/2015,MPV 668/2015,MPV 668/2015,MPV 668/2015,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,MPV 670/2015,MPV 670/2015,MPV 670/2015,MPV 672/2015,MPV 672/2015,MPV 672/2015,MPV 672/2015,MPV 672/2015,MPV 672/2015,MPV 672/2015,PL 863/2015,PL 863/2015,PL 863/2015,PL 863/2015,PL 863/2015,PL 863/2015,PL 863/2015,PL 863/2015,PL 863/2015,PL 863/2015,REQ 1681/2015,PLP 37/2015,PEC 171/1993,PEC 171/1993,PEC 171/1993,PEC 171/1993,PEC 171/1993,MPV 671/2015,PEC 182/2007,PL 5735/2013,PL 5735/2013,PL 5735/2013,PL 5735/2013,PL 5735/2013,PL 5735/2013,PEC 182/2007,PEC 182/2007,PEC 182/2007,PEC 182/2007,PL 2020/2015,PEC 182/2007,PEC 443/2009,PEC 443/2009,PEC 443/2009,PEC 443/2009,PEC 443/2009,PEC 182/2007,PL 2016/2015,PLP 25/2015,REC 49/2015,PEC 171/1993,PEC 171/1993,PL 10/2015,PL 2479/2000,PDC 57/2015,PL 1057/2007,PLP 106/2011,REQ 1126/2015,REQ 2409/2015,REQ 2727/2015,PEC 471/2005,PLP 25/2007,PLP 25/2007,PLP 25/2007,PLP 25/2007,PEC 172/2012,PEC 172/2012,PEC 172/2012,REQ 2738/2015,MPV 675/2015,PDC 57/2015,PL 5735/2013,PL 5735/2013,PL 5735/2013,PL 5735/2013,REQ 10903/2014,PLP 366/2013,REQ 2027/2015,REQ 2118/2015,MPV 681/2015,PLP 366/2013,PLP 366/2013,PLP 366/2013,PLP 366/2013,REQ 2971/2015,MPV 679/2015,REQ 2507/2015,PEC 172/2012,REQ 3048/2015,PEC 172/2012,PEC 172/2012,PLP 124/2015,PLP 124/2015,PL 4474/2004,REQ 3101/2015,PEC 209/2012,MPV 676/2015,MPV 676/2015,REQ 3117/2015,REQ 1219/2015,MPV 678/2015,MPV 678/2015,MPV 678/2015,MPV 678/2015,MPV 678/2015,PLP 278/2013,PEC 215/2003,PL 6446/2013,PL 6446/2013,PL 6446/2013,PEC 395/2014,MPV 682/2015,PL 2750/2015,MPV 687/2015,MPV 687/2015,PL 2960/2015,PEC 215/2003,MPV 685/2015,MPV 685/2015,MPV 685/2015,MPV 685/2015,PL 2960/2015,PL 2960/2015,PDC 238/2015,MPV 688/2015,MPV 688/2015,MPV 688/2015,MPV 688/2015,MPV 688/2015,MPV 688/2015,PL 2960/2015,PL 2960/2015,PL 2960/2015,PL 2960/2015,PEC 74/2015,MPV 685/2015,MPV 691/2015,MPV 691/2015,MPV 691/2015,MPV 691/2015,MPV 691/2015,PLN 5/2015,PLN 5/2015,PEC 74/2015,PEC 74/2015
Nelson Pellegrino,PT,BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jutahy Junior,PSDB,BA,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,1,-1,1,-1,1,0,0,0,1,0,-1,0,0,0,0,-1,0,0,1,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,1,-1,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,1,1,1,-1,-1,1,1,-1,1,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,1,1,1,1,1,1,1,0,-1,1,0,-1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,1,0,1,1,-1,-1,1,-1,1,1,1,-1,1,1,-1,1,-1,1,1,0,1,1,1,1,1,1,1,0,1,-1,0,0,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,0,1,-1,0,0,-1,0,-1,-1,1,0,0,1,-1,1,1,0,0,0,0,0,0,0,1,0
Alice Portugal,PCdoB,BA,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,1,0,1,0,1,-1,0,0,-1,-1,-1,-1,1,1,-1,-1,1,1,1,1,1,-1,0,0,-1,-1,-1,0,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,0,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,-1,1,0,-1,1,0,0,0,0,0,-1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,0,1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,0,0,0,0,1,-1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,-1,-1,1,1,1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,0,-1,-1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,0,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,0,1,-1
Aníbal Gomes,PMDB,CE,-1,0,0,0,0,1,-1,-1,1,1,-1,-1,1,1,0,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,0,0,0,0,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,0,-1,0,-1,0,0,0,0,-1,1,-1,0,0,0,-1,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,1,0,-1,1,1,0,1,1,0,1,1,0,0,-1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,0,-1,1,0,1,1,-1,1,0,1,1,1,0,0,0,0,0,0,1,-1,0,-1,1,1,-1,0,0,0,-1,1,1,0,0,0,0,0,0,0,1,1,-1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,1,-1,1,1,1,-1,1,1,0,1,-1,1,1,0,0,0,0,-1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,0
João Campos,PSDB,GO,0,1,0,0,0,-1,0,1,-1,-1,1,1,-1,1,0,1,0,0,-1,-1,-1,-1,1,-1,1,0,1,-1,1,-1,0,0,1,-1,1,1,0,0,0,-1,-1,-1,1,1,0,0,1,-1,0,-1,1,1,0,0,1,-1,0,0,-1,-1,0,-1,0,0,1,-1,1,1,0,-1,1,0,0,-1,1,0,-1,1,1,-1,-1,-1,1,1,0,1,0,0,0,1,-1,1,0,1,-1,1,0,-1,1,1,0,1,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,0,1,-1,0,-1,1,-1,-1,1,1,-1,1,-1,1,-1,0,1,-1,1,1,0,1,0,0,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,0,1,0,1,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,-1,0,-1,1,-1,1,-1,1,-1,-1,1,-1,1,1,1,0,1,1,1,0,1,-1,-1,1,0,1,0,0,1,1,1,0,0,-1,1,1,-1,1,1,-1,1,1,-1,1,0,0,1,1,-1,1,1,-1,-1,1,1,0,1,1,1,-1,-1,1,1,0,1,1,1,1,1,1,1,0,1,-1,-1,1,1,0,-1,-1,1,0,-1,0,-1,0,1,-1,-1,1,1,1,-1,-1,0,-1,0,0,-1,1,0,0,1,-1,1,1,0,0,0,0,0,0,0,0,0
Pedro Fernandes,PTB,MA,0,0,-1,1,0,1,-1,1,1,1,-1,0,1,1,0,-1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,0,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,1,1,1,-1,-1,-1,-1,1,0,0,1,0,1,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,0,1,0,0,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,0,0,0,0,0,0,0,1,-1,-1,1,0,1,1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,0,1,-1
Sarney Filho,PV,MA,0,1,0,0,0,1,0,0,1,1,-1,-1,0,0,1,-1,-1,0,1,1,-1,1,-1,1,-1,-1,-1,0,-1,1,0,0,1,0,1,1,0,-1,1,1,1,1,1,1,0,1,0,1,0,-1,0,-1,0,0,0,-1,-1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,1,-1,-1,1,-1,1,0,0,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-1,-1,0,-1,0,0,0,-1,1,1,1,1,-1,1,0,-1,1,1,1,1,1,1,1,0,-1,-1,0,0,0,-1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,1,1,0,0,0,1,0,-1,-1,0,0,0,0,1,0,-1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,-1,1,0,1,0,0,0,0,1,-1,0,1,0,0,1,-1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0
João Castelo,PSDB,MA,1,1,-1,1,1,0,1,1,-1,-1,1,1,-1,-1,1,1,0,1,-1,-1,-1,-1,1,-1,1,1,1,0,1,-1,-1,0,1,0,1,1,0,0,0,1,1,1,1,1,-1,0,1,-1,-1,-1,1,1,1,0,1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,0,1,1,-1,0,-1,1,-1,1,1,-1,1,1,-1,1,-1,1,0,1,1,0,1,1,1,-1,0,0,1,1,1,0,-1,1,1,0,1,0,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,-1,0,-1,1,-1,1,1,1,1,1,1,-1,-1,1,-1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,1,-1,1,0,1,0,0,0,0,0,0,1,-1,1,-1,0,0,0,1,1,1,1,1,-1,0,0,0,0,0,0,0,1,1,-1,1,1,0,1,-1,1,1,1,-1,1,1,-1,1,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,0,1,0,1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,0,0,1,0,1,-1,-1,0,-1,0,-1,-1,1,0,0,1,-1,0,1,0,0,0,0,0,0,0,1,-1
Reginaldo Lopes,PT,MG,0,-1,0,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,0,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,0,0,0,0,1,1,0,0,-1,0,-1,-1,1,1,0,-1,1,1,0,0,0,0,0,0,0,-1,-1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,-1,1,1,0,1,-1,0,0,0,0,0,1,0,1,-1,0,0,-1,-1,-1,-1,1,0,-1,1,1,-1,1,-1,0,1,0,0,-1,1,1,1,1,1,-1,-1,0,-1,-1,-1,-1,0,-1,1,-1,1,1,1,0,1,-1,1,-1,1,-1,-1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,0,0,0,0,0,1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,0,-1,1,1,0,1,0,1,1,1,0,1,1,1,-1,1,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,1,1,1,0,1,-1,1,1,1,1,0,1,1,-1,0,0,-1,1,1,1,0,-1,1,0,-1,1,1,1,1,0,0,1,1,0,-1,-1,-1,0,-1,1,-1,-1,1,0,0,1,-1,0,0,-1,1,0,0,-1,-1,1,1,1,-1,-1,0,1,0,1,1,-1,1,1,1,0,1,1,1,1,0,-1,-1,0,0,0,1,0,0,-1
Leonardo Monteiro,PT,MG,-1,-1,0,0,0,0,0,0,0,1,-1,-1,1,1,0,-1,-1,-1,1,1,1,1,-1,1,-1,0,-1,1,-1,1,1,0,0,0,1,1,0,0,-1,0,-1,-1,1,1,0,0,1,0,0,1,0,-1,-1,0,-1,0,-1,-1,1,1,1,1,1,1,0,1,-1,1,0,0,1,0,0,1,-1,0,0,1,0,0,-1,0,-1,1,0,-1,1,0,0,-1,0,0,0,-1,-1,-1,1,1,-1,1,1,1,0,-1,0,0,0,1,0,1,1,1,1,1,0,-1,0,-1,-1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,1,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,1,1,0,-1,1,1,-1,1,0,0,1,1,1,0,1,1,1,1,-1,0,0,0,0,-1,-1,1,0,0,-1,1,-1,1,1,1,1,0,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,0,0,1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,0,0,1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,-1,-1,-1,0,1,1,0,1,-1
