nome,partido,uf,MSF 151/2011,PEC 5/2012,PEC 5/2012,PEC 5/2012,PLC 40/2010,PLC 40/2010,PRS 72/2010,PRS 72/2010,PRS 72/2010,PRS 72/2010,PLV 7/2012,PLV 8/2012,PLC 10/2012,PLV 13/2012,PEC 86/2007,PEC 103/2011,PEC 103/2011,PEC 86/2007,PLS 198/2007,PLS 198/2007,PEC 33/2009,PLS 652/2011,PLS 652/2011,PEC 82/2011,PEC 82/2011,PEC 63/2011,PEC 65/2011,PEC 65/2011,PLV 16/2012,PEC 34/2012,PEC 34/2012,PLC 32/2012,PLC 32/2012,PEC 65/2011,PLV 26/2012,PLV 30/2012,Coeficiente governista
Cyro Miranda,PSDB,   GO   ,1,1,1,0,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-4.89E-002
Aloysio Nunes Ferreira,PSDB,   SP   ,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-4.52E-002
Paulo Bauer,PSDB,   SC   ,1,1,1,1,1,1,1,-1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-3.85E-002
Cássio Cunha Lima,PSDB,   PB   ,1,1,1,1,0,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,-1,1,-2.48E-002
Lúcia Vânia,PSDB,   GO   ,0,0,1,1,1,1,1,-1,-1,-1,-1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2.30E-002
Alvaro Dias,PSDB,   PR   ,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,-1,1,-1.82E-002
Aécio Neves,PSDB,   MG   ,1,1,1,1,1,1,1,1,1,-1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1.46E-003
Mário Couto,PSDB,   PA   ,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,2.33E-004
Flexa Ribeiro,PSDB,   PA   ,1,1,1,1,1,1,1,1,1,1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3.60E-002
Cícero Lucena,PSDB,   PB   ,-1,1,1,1,1,1,0,0,0,0,-1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,6.53E-002
Randolfe Rodrigues,PSOL,   AP   ,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,-1,1,1,0,1,0,-1,-1,2.42E-002
Jayme Campos,DEM,   MT   ,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,-1,1,1,0,0,0,0,1,1,1,1,-4.51E-002
José Agripino,DEM,   RN   ,1,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,-4.21E-002
Cristovam Buarque,PDT,   DF   ,1,0,0,0,1,1,0,0,-1,-1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,-1,1,1,1,0,1,-1,0,0,-3.05E-002
Pedro Taques,PDT,   MT   ,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,3.26E-002
Acir Gurgacz,PDT,   RO   ,1,1,1,1,1,0,0,1,1,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,7.56E-002
